Abeska	アベスカ
Abík	アビーク
Abrahám	アブラハーム
Abrahamčík	アブラハムチーク
Abrahámek	アブラハーメク
Absolon	アプソロン
Adamčík	アダムチーク
Adamec	アダメツ
Adámek	アダーメク
Adamík	アダミーク
Adamovič	アダモヴィチュ
Adamovský	アダモフスキー
Adášek	アダーシェク
Alexa	アレクサ
Ambrož	アンブロシュ
Anděl	アンジェル
Andrlík	アンドルリーク
Andrš	アンドルシュ
Andrýsek	アンドリーセク
Antoš	アントシュ
Babák	ババーク
Babický	バビツキー
Babka	バプカ
Baborák	バボラーク
Bača	バチャ
Báča	バーチャ
Bačík	バチーク
Bajgar	バイガル
Bakeš	バケシュ
Balák	バラーク
Baláš	バラーシュ
Baláž	バラーシュ
Balcar	バルツァル
Balcárek	バルツァーレク
Bálek	バーレク
Balek	バレク
Balík	バリーク
Balvín	バルヴィーン
Baráček	バラーチェク
Barák	バラーク
Baránek	バラーネク
Bareš	バレシュ
Bařina	バジナ
Bařinka	バジンカ
Baroš	バロシュ
Bárta	バールタ
Barták	バルターク
Bártek	バールテク
Bartek	バルテク
Bartík	バルチーク
Bartl	バルトル
Bartoň	バルトン
Bartoněk	バルトニェク
Bartoníček	バルトニーチェク
Bartoš	バルトシュ
Bartošek	バルトシェク
Bartošík	バルトシーク
Bartůněk	バルトゥーニェク
Bartušek	バルトゥシェク
Bašta	バシュタ
Bastl	バストル
Batěk	バチェク
Bažant	バジャント
Bečka	ベチュカ
Bečvář	ベチュヴァーシュ
Bednář	ベドナーシュ
Bednařík	ベドナジーク
Běhal	ビェハル
Běhounek	ビェホウネク
Bejček	ベイチェク
Bělík	ビェリーク
Bělka	ビェルカ
Bělohlávek	ビェロフラーヴェク
Bém	ベーム
Benák	ベナーク
Bendík	ベンディーク
Beneš	ベネシュ
Benešov	ベネショフ
Beníšek	ベニーシェク
Beránek	ベラーネク
Berdych	ベルディフ
Berka	ベルカ
Berky	ベルキ
Bernášek	ベルナーシェク
Bezděk	ベズジェク
Bezdíček	ベズディーチェク
Bílek	ビーレク
Bilík	ビリーク
Bílý	ビーリー
Bína	ビーナ
Bláha	ブラーハ
Blahuta	ブラフタ
Blažej	ブラジェイ
Blažek	ブラジェク
Bobek	ボベク
Boček	ボチェク
Bocek	ボツェク
Bodlák	ボドラーク
Boháč	ボハーチュ
Boháček	ボハーチェク
Bohata	ボハタ
Bohatý	ボハティー
Bohuslav	ボフスラフ
Bolek	ボレク
Borák	ボラーク
Borecký	ボレツキー
Borek	ボレク
Bořil	ボジル
Borovec	ボロヴェツ
Borovička	ボロヴィチュカ
Borovka	ボロフカ
Borovský	ボロフスキー
Borský	ボルスキー
Borůvka	ボルーフカ
Bosák	ボサーク
Bošek	ボシェク
Botek	ボテク
Bouček	ボウチェク
Bouda	ボウダ
Bouška	ボウシュカ
Bouzek	ボウゼク
Božek	ボジェク
Brabec	ブラベツ
Brabenec	ブラベネツ
Brada	ブラダ
Bradáč	ブラダーチュ
Bravenec	ブラヴェネツ
Brázda	ブラーズダ
Brázdil	ブラーズディル
Břečka	ブシェチュカ
Brejcha	ブレイハ
Březina	ブシェズィナ
Břicháček	ブシハーチェク
Bříza	ブシーザ
Brodský	ブロツキー
Brokeš	ブロケシュ
Brouček	ブロウチェク
Brož	ブロシュ
Brožek	ブロジェク
Brožík	ブロジーク
Brůha	ブルーハ
Brunclík	ブルンツリーク
Brůžek	ブルージェク
Brzák	ブルザーク
Brzobohatý	ブルゾボハティー
Bubeníček	ブベニーチェク
Bubeník	ブベニーク
Bublík	ブブリーク
Buček	ブチェク
Buchta	ブフタ
Budík	ブディーク
Budín	ブディーン
Budinský	ブディンスキー
Budský	ブツキー
Bukáček	ブカーチェク
Bukovský	ブコフスキー
Bulíček	ブリーチェク
Bulín	ブリーン
Burda	ブルダ
Bureš	ブレシュ
Buriánek	ブリアーネク
Buřič	ブジチュ
Bursa	ブルサ
Buršík	ブルシーク
Bursík	ブルシーク
Bušek	ブシェク
Bůžek	ブージェク
Buzek	ブゼク
Bydžovský	ビドジョフスキー
Byrtus	ビルトゥス
Bystřický	ビスッチツキー
Bystroň	ビストロン
Čada	チャダ
Čadek	チャデク
Caha	ツァハ
Čajka	チャイカ
Caletka	ツァレトカ
Čáp	チャープ
Čapek	チャペック、チャペク
Čapka	チャプカ
Carda	ツァルダ
Čáslavský	チャースラフスキー
Částka	チャーストカ
Čech	チェフ
Čechák	チェハーク
Čechura	チェフラ
Čejka	チェイカ
Cejpek	ツェイペク
Čekal	チェカル
Čelůstka	チェルーストカ
Čepek	チェペク
Čepelák	チェペラーク
Čermák	チェルマーク
Černík	チェルニーク
Černoch	チェルノフ
Černohorský	チェルノホルスキー
Černošek	チェルノシェク
Černý	チェルニー
Čeřovský	チェジョフスキー
Červeňák	チェルヴェニャーク
Červenka	チェルヴェンカ
Červený	チェルヴェニー
Červinka	チェルヴィンカ
Češka	チェシュカ
Čevela	チェヴェラ
Chadima	ハディマ
Chaloupka	ハロウプカ
Charvát	ハルヴァート
Chládek	フラーデク
Chlumský	フルムスキー
Chlup	フルプ
Chmel	フメル
Chmela	フメラ
Chmelař	フメラシュ
Chmelíček	フメリーチェク
Chmelík	フメリーク
Chocholouš	ホホロウシュ
Chovanec	ホヴァネツ
Chrástek	フラーステク
Chromý	フロミー
Chudoba	フドバ
Chudý	フディー
Chvála	フヴァーラ
Chvátal	フヴァータル
Chvojka	フヴォイカ
Chytil	ヒチル
Cibulka	ツィブルカ
Cigánek	ツィガーネク
Čihák	チハーク
Číhal	チーハル
Cihlář	ツィフラーシュ
Čipera	チペラ
Císař	ツィーサシュ
Číž	チーシュ
Čížek	チージェク
Crha	ツルハ
Čtvrtečka	チュトヴルテチュカ
Čtvrtník	チュトヴルトニーク
Čuda	チュダ
Culek	ツレク
Čurda	チュルダ
Čureja	チュレヤ
Cvrček	ツヴルチェク
Daněk	ダニェク
Daňhel	ダンヘル
Daníček	ダニーチェク
Danihel	ダニヘル
Daniš	ダニシュ
Davídek	ダヴィーデク
Dědek	ジェデク
Dedek	デデク
Dědič	ジェディチュ
Dejmek	デイメク
Demeter	デメテル
Diblík	ディブリーク
Dítě	ディーチェ
Diviš	ディヴィシュ
Dlouhý	ドロウヒー
Dluhoš	ドルホシュ
Dobeš	ドベシュ
Dobiáš	ドビアーシュ
Dobrovolný	ドブロヴォルニー
Dobrý	ドブリー
Dočekal	ドチェカル
Dočkal	ドチュカル
Dohnal	ドフナル
Dohnálek	ドフナーレク
Dokoupil	ドコウピル
Dolák	ドラーク
Dolanský	ドランスキー
Doleček	ドレチェク
Dolejš	ドレイシュ
Dolejší	ドレイシー
Doležal	ドレジャル
Doležel	ドレジェル
Donát	ドナート
Dopita	ドピタ
Dorazil	ドラズィル
Dorňák	ドルニャーク
Doseděl	ドセジェル
Došek	ドシェク
Doskočil	ドスコチル
Dostál	ドスタール
Dostálek	ドスターレク
Doubek	ドウベク
Doubrava	ドウブラヴァ
Doubravský	ドウブラフスキー
Douda	ドウダ
Douša	ドウシャ
Dráb	ドラープ
Drábek	ドラーベク
Dragoun	ドラゴウン
Drahoňovský	ドラホニョフスキー
Drahoš	ドラホシュ
Drapák	ドラパーク
Drápal	ドラーパル
Drápela	ドラーペラ
Drbohlav	ドルボフラフ
Drda	ドルダ
Drexler	ドレクスレル
Dřímal	ドジーマル
Drlík	ドルリーク
Drobný	ドロブニー
Drtikol	ドルチコル
Dubec	ドゥベツ
Dubský	ドゥプスキー
Ducháček	ドゥハーチェク
Duchek	ドゥヘク
Duchoň	ドゥホン
Dudek	ドゥデク
Dufek	ドゥフェク
Dunka	ドゥンカ
Dušek	ドゥシェク
Dušík	ドゥシーク
Dvořáček	ドヴォジャーチェク
Dvořák	ドヴォジャーク（ドヴォルザーク）
Dvorský	ドヴォルスキー
Eliáš	エリアーシュ
Fabián	ファビアーン
Fabiánek	ファビアーネク
Fabík	ファビーク
Falta	ファルタ
Faltýnek	ファルティーネク
Farkaš	ファルカシュ
Farský	ファルスキー
Fedák	フェダーク
Fejfar	フェイファル
Fencl	フェンツル
Ferenc	フェレンツ
Fiala	フィアラ
Fialka	フィアルカ
Fibich	フィビフ
Ficek	フィツェク
Filák	フィラーク
Filip	フィリプ
Filípek	フィリーペク
Fišar	フィシャル
Fišer	フィシェル
Fišera	フィシェラ
Flachs	フラフス
