Abel	アーベル
Abele	アーベレ
Abelein	アーベライン
Abendroth	アーベントロート
Abt	アプト
Achatz	アハッツ
Achenbach	アッヘンバッハ
Achenwall	アッヘンヴァル
Achilles	アヒレス
Ackermann	アッカーマン
Acs	アクス
Adalbert	アダルベルト
Adenauer	アデナウアー
Ader	アダー
Adler	アードラー
Adlershelm	アードラースヘルム
Adlung	アードルング
Adorf	アドルフ
Ahle	アーレ
Ahlersmeyer	アーレルスマイアー
Ahrens	アーレンス
Aiblinger	アイブリンガー
Aichberger	アイヒベルガー
Aichhorn	アイヒホルン
Aichinger	アイヒンガー
Albert	アルベルト
Alberth	アルベルト
Albrecht	アルブレヒト
Albrechtsberger	アルブレヒツベルガー
Aldenhoff	アルデンホフ
Alinge	アーリンゲ
Alletsee	アレトゼー
Allhoff	アルホフ
Alpenheim	アルペンハイム
Altdorfer	アルトドルファー
Altenburg	アルテンブルク
Althaus	アルタウス
Altmann	アルトマン
Altmeyer	アルトマイアー
Ambros	アンブロス
Ameln	アメルン
Amend	アーメント
Amerhauser	アメルハウザー
Ande	アンデ
Anders	アンデルス
Androsch	アンドロシュ
Angerer	アンゲラー
Angermann	アンガーマン
Angermüller	アンガーミュラー
Anheisser	アンハイサー
Anker	アンカー
Anschütz	アンシュッツ
Ansorge	アンゾルゲ
Anthes	アンテス
Appel	アッペル
Arendt	アーレント
Arens	アレンス
Armgard	アルムガルト
Armhold	アルムホルト
Armster	アルムスター
Arndt	アルント
Arnim	アルニム
Arnold	アルノルト、アーノルト
Artner	アルトナー
Aschoff	アショフ
Asmus	アスムス
Aspelmayr	アスペルマイヤー
Assmann	アスマン
Auenmüller	アウエンミュラー
Aufrecht	アウフレヒト
Auler	アウラー
Bach	バッハ
Bachem	バッヘム
Bachmann	バッハマン
Bachstein	バッハシュタイン
Bäcker	ベッカー
Backeshof	バッケスホーフ
Backhaus	バックハウス
Bade	バーデ
Bädeker	ベーデカー
Baden	バーデン
Bader	バーダー
Bahlke	バールケ
Bahner	バーナー
Bähr	ベーア
Bahr	バール
Bahre	バーレ
Balling	バルリング
Ballschmiede	バルシュミーデ
Baltzer	バルツァー
Bälz	ベルツ
Balzer	バルツァー
Band	バント
Barbe	バルベ
Barchet	バルヒェット
Barten	バルテン
Barth	バルト
Barthel	バルテル
Bartsch	バルチュ、バーチュ
Basch	バシュ
Basler	バスラー
Batzdorf	バッツドルフ
Bauer	バウアー
Baumann	バウマン
Baumeister	バウマイスター
Baumgart	バウムガルト
Baumgarten	バウムガルテン
Baumgärtner	バウムゲルトナー
Bäumler	ボイムラー
Bayer	バイヤー
Bechtolsheim	ベヒトルスハイム
Beck	ベック
Beckenbauer	ベッケンバウアー
Becker	ベッカー
Beckerath	ベッケラート
Beckmann	ベックマン
Beer	ベーア
Beeth	ベート
Behlendorf	ベーレンドルフ
Behlmer	ベールマー
Behmenburg	ベーメンブルク
Behrend	ベーレント
Behrens	ベーレンス
Beilke	バイルケ
Beilschmidt	バイルシュミット
Beinl	バインル
Beinlich	バインリヒ
Beirer	バイラー
Bellmer	ベルメール、ベルマー
Bender	ベンダー
Benecken	ベネケン
Bengen	ベンゲン
Benken	ベンケン
Benker	ベンカー
Berend	ベレント
Berg	ベルク
Bergau	ベルガウ
Bergemann	ベルゲマン
Bergen	ベルゲン
Bergengrün	ベルゲングリューン
Berger	ベルガー
Bergmann	ベルクマン
Bergmeister	ベアクマイスター
Bergwein	ベルクヴァイン
Berkel	ベアケル
Berkmann	ベルクマン
Berlichingen	ベルリヒンゲン
Bermbach	ベルムバッハ
Bernbacher	ベルンバッハー
Bernet	ベルネット
Bernhard	ベルンハルト
Bernstein	ベルンシュタイン
Berthold	ベルトホルト、ベルトルト
Bertram	ベルトラム
Bertz	ベルツ
Berwald	ベルヴァルト
Besch	ベッシュ
Bessel	ベッセル
Bester	ベスター
Bettendorf	ベッテンドルフ
Beyer	バイアー、バイエル
Bieger	ビーガー
Bierhoff	ビアホフ
Biermann	ビーアマン
Bindernagele	ビンダーナーゲル
Bindewald	ビンデバルト
Bindszus	ビンツス
Birckenstock	ビルケンシュトック
Birrenkoven	ビレンコーフェン
Bischoff	ビショフ
Bittenfeld	ビッテンフェルト
