Abascal	アバスカル
Abelardo	アベラルド
Abeyta	アベイタ
Abrego	アブレゴ
Abreu	アブレウ
Abril	アブリル
Acevedo	アセベド
Achúcarro	アチュカルロ
Aconcha	アコンチャ
Acosta	アコスタ
Acuña	アクニャ
Adame	アダメ
Adomo	アドモ
Adorno	アドルノ
Afonso	アフォンソ
Aganzo	アガンソ
Agosto	アゴスト
Aguado	アグアド
Aguayo	アグアージョ
Águilar	アギラル
Aguilera	アギレラ
Aguirre	アギルレ
Ahumada	アウマダ
Alanis	アラニス
Alaniz	アラニス
Alarcón	アラルコン
Alba	アルバ
Albelda	アルベルダ
Albeniz	アルベニス
Alberto	アルベルト
Albiol	アルビオル
Alcaine	アルカイネ
Alcalá	アルカラ
Alcántar	アルカンタル
Alcaraz	アルカラス
Alda	アルダ
Alderete	アルデレテ
Alegría	アレグリア
Alejandro	アレハンドロ
Alemán	アレマン
Alen	アレン
Alesanco	アレサンコ
Alfaro	アルファーロ
Alfonso	アルフォンソ
Alicea	アリセア
Aliques	アリケス
Alkorta	アルコルタ
Almajano	アルマハーノ
Almanza	アルマンサ
Almaraz	アルマラス
Almirón	アルミロン
Almodóvar	アルモドバル
Almonte	アルモンテ
Almunia	アルムニア
Alonso	アロンソ
Alonzo	アロンソ
Altamirano	アルタミラーノ
Alva	アルバ
Alvarado	アルバラード
Álvarez	アルバレス
Álvaro	アルバロ
Alves	アルベス
Amador	アマドル
Amavisca	アマビスカ
Amaya	アマージャ
Ambriz	アンブリス
Amenábar	アメナバール
Amieva	アミエバ
Anaya	アナジャ
Andrade	アンドラデ
Ángel	アンヘル
Ángeles	アンヘレス
Anguiano	アンギアノ
Angulo	アングーロ
Ansola	アンソラ
Antolín	アントリーン
Aparicio	アパリシオ
Apodaca	アポダカ
Aponte	アポンテ
Aragó	アラゴ
Aragón	アラゴン
Arámbarri	アランバルリ
Araña	アラーニャ
Arana	アラーナ
Aranda	アランダ
Aranzabal	アランサバル
Aras	アラス
Araujo	アラウホ
Arbós	アルボス
Arce	アルセ
Archuleta	アルチュレタ
Areces	アレセス
Arellano	アレジャーノ、アレリャーノ
Arenas	アレナス
Arenzana	アレンサナ
Arévalo	アレバロ
Arevalo	アレバロ
Argenso	アルヘンソ
Argenta	アルヘンタ
Arguello	アルゲジョ
Arias	アリアス
Arijita	アリヒタ
Armas	アルマス
Armendáriz	アルメンダリス
Armenta	アルメンタ
Armijo	アルミーホ
Arquer	アルケル
Arredondo	アレドンド
Arregui	アルレギ
Arreola	アルレオラ
Arriaga	アリアガ
Arrieta	アルリエタ、アリエタ
Arriete	アリエテ
Arrizubieta	アルリスビエタ
Arroyo	アロジョ
Arteaga	アルテアガ
Asensio	アセンシオ
Aspe	アスペ
Asquerino	アスケリノ
Astorga	アストルガ
Atalaya	アタラジャ
