Aakula	アークラ
Aalto	アールト
Aaltonen	アールトネン
Äärilä	アーリラ
Aarne	アールネ
Aarnio	アールニオ
Aartoma	アールトマ
Aattela	アーッテラ
Aavikko	アーヴィッコ
Ahmaniemi	アハマニエミ
Ahmaoja	アハマオヤ
Ahmavaara	アハマヴァーラ
Aho	アホ
Ahokainen	アホカイネン
Ahokas	アホカス
Ahola	アホラ
Aholainen	アホライネン
Ahonen	アホネン
Ahoniemi	アホニエミ
Ahosilta	アホシルタ
Ahtee	アハテー
Ahtiala	アハティアラ
Ahtila	アハティラ
Ahtisaari	アハティサーリ
Äijälä	アイヤラ
Aikio	アイキオ
Airaksinen	アイラクシネン
Airikkala	アイリッカラ
Airola	アイロラ
Akkanen	アッカネン
Akonniemi	アコンニエミ
Alaja	アラヤ
Alajoki	アラヨキ
Alaluusua	アラルースア
Alanen	アラネン
Alanko	アランコ
Alatalo	アラタロ（アラータロ）
Alho	アルホ
Alhonen	アルホネン
Alhoniemi	アルホニエミ
Alikoski	アリコスキ
Alkula	アルクラ
Almila	アルミラ
Ankelo	アンケロ
Annala	アンナラ
Annukka	アンヌッカ
Antikainen	アンティカイネン
Antila	アンティラ
Anttila	アンッティラ
Anttonen	アンットネン
Arhinmäki	アルヒンマキ
Arho	アルホ
Aro	アロ
Arola	アロラ
Aromaa	アロマー
Aronen	アロネン
Arvonen	アルヴォネン
Asikainen	アシカイネン
Aspi	アスピ
Aspivaara	アスピヴァーラ
Astala	アスタラ
Asunmaa	アスンマー
Aunola	アウノラ
Aunula	アウヌラ
Autio	アウティオ
Autti	アウッティ
Auvinen	アウヴィネン
Ekroos	エクロース（エクルース）
Elomaa	エロマー
Elomo	エロモ
Eloranta	エロランタ
Enho	エンホ
Erkkilä	エルッキラ
Erkko	エルッコ
Erkkola	エルッコラ
Erola	エロラ
Eronen	エロネン
Ervasti	エルヴァスティ
Eskelinen	エスケリネン
Eskola	エスコラ
Etelämäki	エテラマキ
Etelävuori	エテラヴオリ
Evokari	エヴォカリ
Filppula	フィルップラ
Haajanen	ハーヤネン
Haakana	ハーカナ
Haanpää	ハーンパー
Haapakoski	ハーパコスキ
Haapala	ハーパラ
Haapalainen	ハーパライネン
Haapamäki	ハーパマキ
Haapanen	ハーパネン
Haapaniemi	ハーパニエミ
Haapasalo	ハーパサロ
Haapoja	ハーポヤ
Haarala	ハーララ
Haarus	ハールス
Haaskivi	ハースキヴィ
Haatainen	ハータイネン
Haataja	ハータヤ
Haavikko	ハーヴィッコ
Haavisto	ハーヴィスト
Hahli	ハハリ
Hahto	ハハト
Haila	ハイラ
Hakala	ハカラ
Häkämies	ハカミエス
Hakanen	ハカネン
Hakanpää	ハカンパー
Hakkarainen	ハッカライネン
Hakkila	ハッキラ
Häkkinen	ハッキネン
Häkli	ハクリ
Hakola	ハコラ
Hakonen	ハコネン
Hakulinen	ハクリネン
Hakundi	ハクンディ
Halkoaho	ハルコアホ
Halla	ハッラ
Hallio	ハッリオ
Halme	ハルメ
Halmetoja	ハルメトヤ
Halonen	ハロネン
Halttunen	ハルットゥネン
Halvari	ハルヴァリ
Halvoni	ハルヴォニ
Hämäläinen	ハマライネン（ハマーライネン）
Hämeenniemi	ハメーンニエミ
Hanhimäki	ハンヒマキ
Hännenen	ハンネネン
Hännikäinen	ハンニカイネン
Hannikainen	ハンニカイネン
Hannila	ハンニラ
Hänninen	ハンニネン
Hannu	ハンヌ
Hannuksela	ハンヌクセラ
Hannula	ハンヌラ
Hannunen	ハンヌネン
Hanski	ハンスキ
Hanttu	ハンットゥ
Häppölä	ハッポラ
Happonen	ハッポネン
Harakka	ハラッカ
Harala	ハララ
Harikali	ハリカリ
Harikkala	ハリッカラ
Harila	ハリラ
Harinen	ハリネン
Harju	ハルユ
Harjula	ハルユラ
Härkänen	ハルカネン
Harkimo	ハルキモ
Härkin	ハルキン
Harkki	ハルッキ
Härkönen	ハルコネン
Härmä	ハルマ
Härönen	ハロネン
Hartikainen	ハルティカイネン
Hartonen	ハルトネン
Harvala	ハルヴァラ
Hassi	ハッシ
Hassinen	ハッシネン
Hasti	ハスティ
Hasu	ハス
Hatakka	ハタッカ
Hätälä	ハタラ
Hättönen	ハットネン
Hattunen	ハットゥネン
Haukio	ハウキオ
Haukka	ハウッカ
Hauru	ハウル
Hauta-aho	ハウタ＝アホ
Hautala	ハウタラ
Hautamäki	ハウタマキ
Hautaniemi	ハウタニエミ
Haverinen	ハヴェリネン
Havukainen	ハヴカイネン
Häyhä	ハユハ（ヘイヘ）
Häyrynen	ハユリュネン
Heikelä	ヘイケラ
Heikinheimo	ヘイキンヘイモ
Heikkilä	ヘイッキラ
Heikkinen	ヘイッキネン
Heimonen	ヘイモネン
Heinäluoma	ヘイナルオマ
Heinilä	ヘイニラ
Heininen	ヘイニネン
Heino	ヘイノ
Heinola	ヘイノラ
Heinonen	ヘイノネン（ハイノネン）
Heiskanen	ヘイスカネン
Heiskari	ヘイスカリ
Helistö	ヘリスト
Helko	ヘルコ
Helkovaara	ヘルコヴァーラ
Helminen	ヘルミネン
Hentinen	ヘンティネン
Henttonen	ヘンットネン
Hentunen	ヘントゥネン
Herlevi	ヘルレヴィ
Herrala	ヘッララ
Hiekkaranta	ヒエッカランタ
Hietakangas	ヒエタカンナス
Hietala	ヒエタラ
Hietalahti	ヒエタラハティ
Hietamäki	ヒエタマキ
Hietamies	ヒエタミエス
Hietanen	ヒエタネン
Hiidenmaa	ヒーデンマー
Hiidensalo	ヒーデンサロ
Hiidenuhma	ヒーデヌフマ
Hiilelä	ヒーレラ
Hiilesmaa	ヒーレスマー
Hiironen	ヒーロネン
Hilakari	ヒラカリ
Hillilä	ヒッリラ
Hiltula	ヒルトゥラ
Hiltunen	ヒルトゥネン
Himanen	ヒマネン
Himanka	ヒマンカ
Hinkka	ヒンッカ
Hintikka	ヒンティッカ
Hirsi	ヒルシ
Hirvela	ヒルヴェラ
Hirvi	ヒルヴィ
Hirvisaari	ヒルヴィサーリ
Hirvisalo	ヒルヴィサロ
Hirvonen	ヒルヴォネン
Hittavainen	ヒッタヴァイネン
Hiukka	ヒウッカ
Hjerpe	ヒエルペ
Hoikka	ホイッカ
Hokkanen	ホッカネン
Holanti	ホランティ
Holappa	ホラッパ
Holkeri	ホルケリ
Hollo	ホッロ
Holopainen	ホロパイネン
Hölsö	ホルソ
Hongisto	ホンニスト
