Abélard	アベラール
Abraham	アブラーム
Achard	アシャール
Acquart	アキャール
Adam	アダン
Ader	アデール
Affré	アフレ
Afriat	アフリア
Aghion	アギヨン
Aillagon	アイヤゴン、アヤゴン
Aimard	エマール
Aimée	エメ
Alain	アラン
Albers	アルベール
Albert	アルベール
Albou	アルブー
Alkan	アルカン
Allain	アラン
Allais	アレ
Alléon	アレオン
Alliot	アリヨ
Althusser	アルチュセール
Ampère	アンペール
Amy	アミ
André	アンドレ
Anglade	アングラード
Anquetin	アンクタン
Antoine	アントワーヌ
Apollinaire	アポリネール
Appert	アペール
Arambourg	アランブール
Archer	アルシェ
Ardouin	アルドワン
Arnardi	アルナルディ
Arnaud	アルノー
Arnould	アルヌー
Aron	アロン
Arouet	アルエ
Artaud	アルトー
Arvier	アルヴィエ
Asselin	アスラン
Atget	アジェ
Attaignant	アテニャン
Attal	アタル
Auber	オベール
Aubert	オベール
Aubigné	オービニエ
Aubin	オーバン
Aubine	オビーヌ
Aubry	オーブリー、オブリ
Auclair	オクレール
Audin	オダン
Audollent	オードラン
Audran	オドラン
Auffret	オフレ
Augé	ウジェ
Auger	オジェ
Augier	オジエ
Aulard	オラール
Auric	オーリク
Auriol	オリオル、オリオール
Autin	オータン
Aveline	アヴリーヌ
Aymonier	エモニエ
Ayrault	エロー
Azéma	アゼマ
Aznavour	アズナヴール
Bachelard	バシュラール
Bachelet	バシュレ
Badinter	バダンテール
Bagieu	バジュー
Bahier	バイエ
Baillard	バイヤール
Baillot	バイヨ
Bailly	バイイ
Balabaud	バラボー
Balbastre	バルバストル
Balguerie	バルゲリー
Balladur	バラデュール
Balsan	バルサン
Baltel	バルテル
Barbet	バルベ
Barbier	バルビエ
Barbizet	バルビゼ
Barlier	バルリエ
Barnier	バルニエ
Baroin	バロワン
Barraine	バレーヌ
Barrande	バランド
Barraqué	バラケ
Barratier	バラチエ
Barraud	バロー
Barrault	バロー
Barré	バレ
Barreau	バロー
Barret	バレ
Barrier	バリエ
Barthélémy	バルテレミー
Barthes	バルト
Barthet	バルテ
Baschet	バシェ
Bastié	バスチエ
Bataille	バタイユ
Batigne	バティーニュ
Baton	バトン
Batté	バテ
Baud	ボー
Baudelaire	ボードレール
Baudouin	ボドワン
Baudrier	ボードリエ
Baudrillard	ボドリヤール、ボードリヤール
Baugé	ボージェ
Bayard	バヤール
Baye	バイ
Bayrou	バイルー
Bazaine	バゼーヌ
Bazelaire	バズレール
Bazin	バザン
Béart	ベアール
Béatrix	ベアトリクス
Beaucamp	ボーカン
Beaujon	ボージョン
Beaulieu	ボーリュー
Beaumarchais	ボーマルシェ
Beaumont	ボーモン
Beauvoir	ボーヴォワール
Becquerel	ベクレル
Becquet	ベケ
Becu	ベキュ
Bégaudeau	ベゴドー
Béjart	ベジャール
Bélanger	ベランジェ
