Abate	アバーテ
Abatino	アバティーノ
Abbatini	アッバティーニ
Abbiati	アッビアーティ
Abbondanza	アッボンダンツァ
Abelli	アベッリ
Abondio	アボンディオ
Abruzzi	アブルッツィ
Accardo	アッカルド
Acconci	アッコンチ
Acerbi	アチェールビ
Achilli	アキッリ
Adani	アダーニ
Addesi	アッデージ
Ademollo	アデモッロ
Adinolfi	アディノルフィ
Adornato	アドルナート
Affaitati	アッファイターティ
Agazzari	アガッツァーリ
Agazzi	アガッツィ
Aglietta	アッリェッタ
Agnelli	アニェッリ
Agnesi	アニェージ
Agogliati	アゴリヤーティ
Agosti	アゴスティ
Agostinelli	アゴスティネッリ
Agostini	アゴスティーニ
Agosto	アゴスト
Agricola	アグリーコラ
Aimaro	アイマーロ
Airola	アイローラ
Alabiso	アラビーゾ
Albanese	アルバネーゼ
Albani	アルバーニ
Albergetti	アルベルジェッティ
Alberini	アルベリーニ
Alberoni	アルベローニ
Alberti	アルベルティ
Albertini	アルベルティーニ
Albertosi	アルベルトージ
Albinoni	アルビノーニ
Alboni	アルボーニ
Alboreto	アルボレート
Alborghetti	アルボルゲッティ
Alderighi	アルデリーギ
Aldini	アルディーニ
Aldrovandi	アルドロヴァンディ
Aleotti	アレオッティ
Alessandri	アレッサンドリ
Alessandrini	アレッサンドリーニ
Alessandrino	アレッサンドリーノ
Alessi	アレッシ
Alfano	アルファーノ
Alibrandi	アリブランディ
Alighieri	アリギエリ、アリギエーリ
Aliprandi	アリプランディ
Aliprandini	アリプランディーニ
Allegri	アッレーグリ
Allegrini	アッレグリーニ
Aloisi	アロイージ
Altamura	アルタムーラ
Altobelli	アルトベッリ
Amadei	アマデイ
Amadeo	アマデーオ
Amati	アマーティ
Amato	アマート
Ambrosini	アンブロジーニ
Ambrosio	アンブロージオ
Ambrosoli	アンブロゾーリ
Amelia	アメーリア
Amenta	アメーンタ
Ametis	アメーティス
Amici	アミーチ
Ammaniti	アンマニーティ
Ammendola	アンメンドラ
Amodio	アモーディオ
Amore	アモーレ
Amoroso	アモローソ
Anastasi	アナスタージ
Ancelotti	アンチェロッティ
Andolfi	アンドールフィ
Andreatti	アンドレアッティ
Andreini	アンドレイニ
Andreoli	アンドレオーリ
Andreolli	アンドレオッリ
Andreoni	アンドレオーニ
Andreotti	アンドレオッティ
Anelli	アネッリ
Anerio	アネーリオ
Anesi	アネージ、アネーシ
Anfossi	アンフォッシ
Angelini	アンジェリーニ
Angelo	アンジェロ
Angelucci	アンジェルッチ
Anghileri	アンギレーリ
Angiolini	アンジョリーニ
Angioni	アンジョーニ
Annaloro	アンナローロ
Annovazzi	アンノヴァッツィ
Annunziata	アンヌンツィアータ
Ansaldi	アンサルディ
Anselmi	アンセルミ
Antinori	アンティノーリ
Antiseri	アンティゼリ
Antognoni	アントニョーニ
Antonella	アントネッラ
Antonelli	アントネッリ
Antonellini	アントネッリーニ
Antonello	アントネッロ
Antoni	アントーニ
Antonicelli	アントニチェッリ
Antonini	アントニーニ
Antonioni	アントニオーニ
Antonucci	アントヌッチ
Antonutti	アントヌッティ
Apicella	アピチェッラ
Appiano	アッピアーノ
Aprea	アプレーア
Aquilani	アクィラーニ
Aquilano	アクィラーノ
Arangi	アランジ
Arcaini	アルカイーニ
Ardelli	アルデッリ
Arenghi	アレンギ
Aretino	アレティーノ
Argento	アルジェント
Arienzo	アリエンツォ
Ariosti	アリオスティ
Ariosto	アリオスト
Armani	アルマーニ
Armanini	アルマニーニ
Armaroli	アルマローリ
Arrigoni	アッリゴーニ、アルリゴーニ
Arriva	アルリーヴァ、アリーヴァ
Artusi	アルトゥージ
Ascari	アスカーリ
Ascoli	アスコリ
Assandri	アッサンドリ
Astori	アストーリ
Augello	アウジェッロ
Auteri	アウテーリ
Autieri	アウティエリ
Autori	アウトーリ
Avati	アヴァティ
Averulino	アヴェルリーノ
Avogadro	アヴォガードロ
Avoledo	アヴォレード
Azzaretti	アッツァレッティ
Azzariti	アッツァリーティ
Baccara	バッカラ
Bacci	バッチ
Bacciocchi	バッチョッキ
Bachini	バキーニ
Baciocchi	バチョッキ
Bada	バーダ
Badini	バディーニ
Badioli	バディオリ
Badoglio	バドッリョ
Baggio	バッジョ
Baglioni	バッリョーニ
Bagnato	バニャート
Bagni	バーニ
Bagnoli	バニョーリ
Bajardi	バヤルディ
Balbo	バルボ
Baldassare	バルダッサーレ
Baldasseroni	バルダッセローニ
Baldessarini	バルデッサリーニ
Baldi	バルディ
Baldini	バルディーニ
Balducci	バルドゥッチ
Balestra	バレストラ、バレーストラ
Balivo	バリーヴォ
Ballantini	バッランティーニ
Ballista	バッリスタ
Ballottari	バッロッターリ
Balocco	バロッコ
Balotelli	バロテッリ
Balsamo	バルサモ
Banchieri	バンキエーリ
Bandera	バンデーラ
Bandinelli	バンディネッリ
Bandini	バンディニ
Banfi	バンフィ
Baracchi	バラッキ
Baraldi	バラルディ
Baratti	バラッティ
Barbari	バルバーリ
Barbato	バルバート
Barberi	バルベーリ
Barberini	バルベリーニ
Barbi	バルビ
Barbieri	バルビエリ
Barbirolli	バルビロッリ
Bardelli	バルデッリ
Bardi	バルディ
Bardini	バルディーニ
Baresi	バレージ
Baretta	バレッタ
Barigozzi	バリゴッツィ
Barini	バリーニ
Barioni	バリオーニ
Barlotti	バルロッティ
Barlozzi	バルロッツィ
Barocci	バロッチ
Barocco	バロッコ
Barone	バローネ
Baroni	バローニ
Baronio	バローニオ
Barracciu	バルラッチュ
Bartoletti	バルトレッティ
Bartoli	バルトリ
Bartolini	バルトリーニ
Bartolomasi	バルトロマージ
Bartolomei	バルトロメーイ
Bartolone	バルトローネ
Bartolozzi	バルトロッツィ
Bartolucci	バルトルッチ
Barzaghi	バルツァーギ
Barzagli	バルザッリ
Basiola	バジオーラ
Bassani	バッサーニ
Bassano	バッサーノ
Bassi	バッシ
Basso	バッソ
Bastianini	バスティアニーニ
Batoni	バトーニ
Battaglia	バッタッーリャ
Battilani	バッティラーニ
Battista	バッティスタ
Battistella	バッティステッラ
Battisti	バッティスティ
Battistini	バッティスティーニ
Battolla	バットッラ
Baudo	バウド
Bazzini	バッツィーニ
Bazzoni	バッツォーニ
Bearzatti	ベアルザッティ
Bearzot	ベアルツォット
Beccalossi	ベッカロッシ
Beccaria	ベッカリーア
Bechis	ベキス
Bedulli	ベドゥッリ
Bella	ベッラ
Bellanova	ベッラノーヴァ
Bellavia	ベッラヴィーア
Bellenghi	ベレンギ
Bellezza	ベッレッツァ
Belli	ベッリ
Bellincampi	ベッリンカンピ
Bellincioni	ベリンチョーニ
Bellini	ベッリーニ
Bello	ベッロ
Bellocchio	ベッロッキオ
Belloni	ベッローニ
Bellotti	ベッロッティ
Bellotto	ベッロット
Bellucci	ベッルッチ、ベルッチ
Bellugi	ベッルージ
Belmondo	ベルモンド
Belotti	ベロッティ
Beltrami	ベルトラーミ
Benaglio	ベナッリョ
Benassi	ベナッシ
Bendandi	ベンダンディ
Bendicenti	ベンディチェンティ
Benedetti	ベネデッティ
Benelli	ベネッリ
Benetti	ベネッティ
Benevoli	ベネヴォリ、ベネーヴォリ
Benigno	ベニーニョ
Benini	ベニーニ
Benvenuti	ベンヴェヌーティ
Berardi	ベラルディ
Berardino	ベラルディーノ
Berdini	ベルディーニ
Bergamini	ベルガミーニ
Bergamino	ベルガミーノ
Bergamo	ベルガモ
Bergoglio	ベルゴーリョ
Bergomi	ベールゴミ
Bergonzi	ベルゴンツィ
Berini	ベリーニ
Berio	ベーリオ
Berlinghieri	ベルリンギエーリ
Berlusconi	ベルルスコーニ
Berluti	ベルルーティ
Bernardi	ベルナルディ
Bernardini	ベルナルディーニ
Bernasconi	ベルナスコーニ
Berneri	ベルネーリ
Berni	ベルニ
Berruti	ベッルーティ
Bersani	ベルサーニ
Bertagna	ベルターニャ
Bertali	ベルターリ
Bertani	ベルターニ
Bertazzo	ベルタッツォ
Bertè	ベルテ
Berti	ベルティ
Bertinelli	ベルティネッリ
Bertini	ベルティーニ
Bertinotti	ベルティノッティ
Bertocchi	ベルトッキ
Bertoia	ベルトイア
Bertolini	ベルトリーニ
Bertolino	ベルトリーノ
Bertolotto	ベルトロット
Bertoncini	ベルトンチーニ
Bertone	ベルトーネ
Bertoni	ベルトーニ
Bertotto	ベルトット
Bertucchi	ベルトゥッキ
Bertucci	ベルトゥッチ
Besanzoni	ベザンツォーニ
Bettarini	ベッタリーニ
Bettega	ベッテガ
Betti	ベッティ
Bettinelli	ベッティネッリ
Bettini	ベッティーニ
Bettoni	ベットーニ
Bevacqua	ベヴァックヮ
Bevilacqua	ベヴィラックワ
Bezzini	ベッツィーニ
Biagetti	ビアジェッティ
Biagiotti	ビアジョッティ
Bianchetti	ビアンケッティ
Bianchi	ビアンキ
Bianchini	ビアンキーニ
Bianco	ビアンコ
Biasini	ビアジーニ（ビアシーニ）
Biazzi	ビアッツィ
Bigatto	ビガット
Bigliardi	ビッリャルディ
Bigliazzi	ビッリャッツィ
Bigon	ビゴン
Bigoni	ビゴーニ
Biliotti	ビリオッティ
Binci	ビンチ
Bini	ビーニ
Biondelli	ビオンデッリ
Biorcati	ビオルカーティ
Birindelli	ビリンデッリ
Bisatti	ビザッティ
Biscardini	ビスカルディーニ
Bissa	ビッサ
Bissolati	ビッソラーティ
Bisutti	ビズッティ
Bitonto	ビトーント
Blasi	ブラージ
Blini	ブリーニ
Blotto	ブロット
Bobbio	ボッビオ
Bocca	ボッカ
Boccacini	ボッカチーニ
Boccassini	ボッカッシーニ、ボカッシーニ
Boccherini	ボッケリーニ
Bocchi	ボッキ
Bocchiddi	ボッキッディ
Bocci	ボッチ
Bocciardo	ボッチャールド
Boccioni	ボッチョーニ
Boccoli	ボッコリ
Boccolini	ボッコリーニ
Bocconi	ボッコーニ
Bocelli	ボチェッリ
Boiardo	ボイアールド
Boito	ボーイト
Boldrini	ボルドリーニ
Bolognini	ボロニーニ
Bombelli	ボンベッリ
Bombieri	ボンビエリ
Bompiani	ボンピアーニ
Bona	ボナ
Bonaccorti	ボナッコルティ
Bonaga	ボナーガ
Bonanno	ボナンノ
Bonato	ボナート
Bonatta	ボナッタ
Bonaventura	ボナヴェントゥーラ
Bonazzoli	ボナッツォーリ
Bonci	ボンチ
Boncompagni	ボンコンパーニ
Bondi	ボンディ
Bondino	ボンディーノ
Bonelli	ボネッリ
Bonera	ボネーラ
Bonetti	ボネッティ
Bonetto	ボネット
Bonfanti	ボンファンティ
Bonferroni	ボンフェローニ
Boni	ボーニ
Bonifaccio	ボニファッチョ
Bonifacio	ボニファーチョ
Bonini	ボニーニ
Bonino	ボニーノ
Boninsegna	ボニンセーニャ
Bonisolli	ボニゾッリ
Bono	ボーノ
Bonomi	ボノーミ
Bononi	ボノーニ
Bonporti	ボンポルティ
Bontempi	ボンテンピ
Bonucci	ボヌッチ
Borchi	ボルキ
Borciani	ボルチャーニ
Bordiga	ボルディーガ
Borgatti	ボルガッティ
Borghese	ボルゲーゼ
Borghesio	ボルゲージオ
Borghi	ボルギ
Borgianni	ボルジャンニ
Borgioli	ボルジョリ
Borgonovo	ボルゴノーヴォ
Borrelli	ボッレッリ、ボルレッリ
Borroni	ボルローニ
Bortolotti	ボルトロッティ
Borzi	ボルツィ
Boschetti	ボスケッティ
Boschi	ボスキ
Bosio	ボージオ
Bossi	ボッシ
Botta	ボッタ
Bottacchiari	ボッタッキアーリ、ボッタッキャーリ
Bottazzo	ボッタッツォ
Bottesini	ボッテジーニ（ボッテシーニ）
Botti	ボッティ
Bovi	ボーヴィ
Bovolenta	ボヴォレンタ
Bozza	ボッツァ
Bozzetto	ボッツェット
Bozzi	ボッツィ
Bracco	ブラッコ
Braga	ブラーガ
Bragaglia	ブラガーリャ
Bragazzi	ブラガッツィ
Bramani	ブラマーニ
Brambilla	ブランビッラ
Branca	ブランカ
Branchini	ブランキーニ
Brandi	ブランディ
Brando	ブランド
Branzoli	ブランツォーリ
Braschi	ブラスキ
Brengola	ブレンゴーラ
Brero	ブレロ
Bressa	ブレッサ
Bressan	ブレッサン
Brevi	ブレーヴィ
Breviario	ブレヴィアーリオ
Briatore	ブリアトーレ
Brignoli	ブリニョーリ
Brio	ブリオ
