't Hooft	エトホーフト
Aalders	アールデルス
Aanstoot	アーンストート
Akkerman	アッケルマン
Alkema	アルケマ
Altena	アルテナ
Ansink	アンシンク
Appel	アッペル
Arends	アーレンツ
Asser	アッセル
Atema	アテマ
Baars	バールス
Baas	バース
Baayens	バイエンス、バーイエンス
Bakhuizen	バッカウゼン
Bakker	バッケル
Balkenende	バルケネンデ
Bannink	バンニンク
Bartelink	バルテリンク
Bastiaans	バスティアーンス
Beekman	ベークマン
Beel	ベール
Been	ベーン
Beijer	ベイエル
Beijersbergen	ベイエルスベルヘン
Bennink	ベンニンク
Berends	ベーレンズ
Berendse	ベレンセ
Berkenbosch	ベルケンボス
Bicknese	ビクネーセ
Biesheuvel	ビーシェーヴェル
Bijl	ベイル
Bijleveld	ベイレフェルト
Bisschop	ビスホップ
Bisselink	ビッセリンク
Blaauw	ブラーウ
Bloembergen	ブルンベルヘン
Blok	ブロック
Blom	ブローム
Boedijn	ブーデイン
Boeijen	ボーイェン
Boer	ブル
Boers	ブルス
Boersema	ブールセマ
Bogaerts	ボーハールツ
Bok	ボック
Bol	ボル
Bolkestein	ボルケステイン
Bonneveld	ボンネフェルト
Boomsma	ボームスマ
Boon	ボーン
Boontje	ボーンチェ
Boot	ボート
Borst	ボルスト
Borstlap	ボルストラップ
Bos	ボス
Bosch	ボス
Bosma	ボースマ
Bosman	ボスマン
Bosmans	ボスマンス
Bosschaart	ボスハールト
Bosschaert	ボスハールト
Bosveld	ボスフェルト
Bouwman	バウマン
Bracke	ブラッケ
Breeuwsma	ブレウスマ
Breukink	ブルーキンク
Brinkman	ブリンクマン
Broekhuijsen	ブルクハウセン、ブルクハユセン
Brouwer	ブラウエル
Brouwers	ブラウエルス
Bruinsma	ブラウンスマ
Brus	ブルス
Buijs	バウス
Buiskool	バウスコール、バユシュコール
Buitenhuis	バウテンハウス、バユテンハユス
Bulsink	ビュルシンク
Bulterman	ビュルテルマン
Burgers	ビュルヘルス
Buys	バウス、バユス
Cals	カルス
Ceulemans	ケーレマンス
Claassen	クラーセン
Cleemput	クレーンプット
Colijn	コーレイン
Conijn	コーネイン
Crommelin	クロンメリン
Cruijff	クライフ
Cuypers	カウペルス
Dammers	ダンメルス
de Backer	デ・バッケル
de Bakker	デ・バッケル
de Beer	デ・ベール
de Bleeckere	デ・ブレーケレ
de Bock	デ・ボック
de Boer	デ・ブール
de Brabander	デ・ブラバンデル
de Bruijn	デ・ブラーン
de Bruin	デ・ブラウン
de Bruyne	デ・ブラュネ
de Fretes	デ・フレーテス
de Geer	デ・ヘール
de Gorter	デ・ホルテル
de Graaf	デ・フラーフ
de Graaff	デ・フラーフ
de Graeff	デ・フラーフ
de Greef	デ・フレーフ
de Groot	デ・フロート
de Haan	デ・ハーン
de Heer	デ・ヘール
de Hondt	デ・ホント
de Jager	デ・ヤーヘル
de Jong	デ・ヨング
de Jonge	デ・ヨンゲ
de Jongh	デ・ヨング
de Kempenaer	デ・ケンペナール
de Klerk	デ・クレルク
de Kock	デ・コック
de Kok	デ・コーク
de Koning	デ・コニング
de Kooning	デ・コーニング
de Kort	デ・コルト
de Laat	デ・ラート
de Lange	デ・ランゲ
de Langen	デ・ランゲン
de Leeuw	デ・レーウ
de Loos	デ・ロース
de Man	デ・マン
de Meester	デ・メーステル
de Meij	デ・メイ
de Muinck	デ・マュンク
de Mulder	デ・ミュルデル
de Niet	デ・ニート
de Nooijer	デ・ノーイェル
de Quay	デ・クヴァイ
de Raad	デ・ラート
de Raaff	デ・ラーフ
de Reeder	デ・レーデル
de Ridder	デ・リーデル、デ・リデル
de Rijk	デ・レイク
de Rijke	デ・レイケ
de Roo	デ・ロー
de Roode	デ・ローデ
de Rooij	デ・ローイ
de Ruijter	デ・ラウテル、デ・ラユテル
de Ruiter	デ・ラュテル
de Rycke	デ・ライケ
de Smet	デ・スメット
de Veer	デ・フェール
de Vente	デ・フェンテ
de Visser	デ・フィッセル
de Vlieger	デ・フリーヘル
de Voest	デ・フースト
de Vos	デ・フォス
de Vreese	デ・フレーセ
de Vries	デ・フリース
de Vrij	デ・フレイ
de Waal	デ・ヴァール
de Waard	デ・ヴァールト
de Waart	デ・ヴァールト
de Wild	デ・ヴィルト
de Winter	デ・ヴィンテル
de Wit	デ・ヴィット
de Wulf	デ・ヴュルフ
de Zeeuw	デ・ゼーウ
de Zwaan	デ・ズヴァーン
Deenen	デーネン
Dekker	デッケル
Dekkers	デッケルス
den Herder	デン・ヘルデル
den Ouden	デン・アウデン
den Uyl	デン・アユル
