Abayev	アバーエフ
Abakarov	アバカロフ
Abalkin	アバルキン
Abduvaliyev	アブドゥヴァリエフ
Abdulatipov	アブドゥラチポフ
Abdulbasirov	アブドゥルバシロフ
Abdyyev	アブディエフ
Abeltsev	アベリツェフ
Abramenkov	アブラメンコフ
Abramov	アブラモフ
Abrikosov	アブリコーソフ
Abroskin	アブロシキン
Avvakumov	アヴァクモフ
Avdeyev	アヴジェーエフ
Avdeyenko	アヴジェーエンコ
Avdyushin	アヴジュシン
Averin	アヴェリン
Averchev	アヴェルチェフ
Aganbegyan	アガンベギャン
Agapov	アガーポフ
Agafonov	アガフォノフ
Ageyenkov	アゲエンコフ
Agutin	アグーチン
Adamishin	アダミーシン
Adamov	アダモフ
Adrov	アドロフ
Azhayev	アジャーエフ
Azarov	アザーロフ
Akatov	アカトフ
Akbayev	アグバエフ
Akimov	アキモフ
Aksakov	アクサーコフ
Aksyonenko	アクショーネンコ
Aksyonov	アクショーノフ
Akulov	アクロフ
Alaverdov	アラヴェルドフ
Alampiyev	アランピエフ
Alginin	アルギニン
Aldanov	アルダーノフ
Aleksandrov	アレクサンドロフ
Aleksashenko	アレクサシェンコ
Alekseyev	アレクセーエフ
Alyokhin	アリョーヒン
Alyoshin	アリョーシン
Almazov	アルマゾフ
Altukhov	アルトゥーホフ
Albitsky	アリビツキー
Amosov	アモソフ
Ananiyev	アナニエフ
Andreyev	アンドレーエフ
Andropov	アンドロポフ
Anikiyev	アニキエフ
Anisimov	アニシモフ
Anisin	アニシン
Anichkin	アニチキン
Anishev	アニシェフ
Anokhin	アノーヒン
Anpilogov	アンピロゴフ
Antipov	アンチーポフ
Antonenko	アントネンコ
Antonov	アントーノフ
Antropov	アントロポフ
Antufev	アントゥフィエフ
Anufriyev	アヌフリエフ
Arbatov	アルバトフ
Arbuzov	アルブゾフ
Argeyev	アルゲエーフ
Arensky	アレンスキー
Arefev	アレフィエフ
Arzhannikov	アルジャンニコフ
Arinin	アリーニン
Arsenev	アルセーニエフ
Arsky	アルスキー
Artyomov	アルチョモフ
Artemev	アルチェミエフ
Artyukhov	アルチュホフ
Arkhipov	アルヒポフ
Artsybashev	アルツィバーシェフ
Asayev	アサエフ
Askalonov	アスカロノフ
Askerkhanov	アスケルハノフ
Aslamov	アスラモフ
Asmolov	アスモロフ
Asochakov	アソチャコフ
Astapchenko	アスタプチェンコ
Astafev	アスタフィエフ
Astakhov	アスタホフ
Asylmuratov	アスィルムラートフ
Aulov	アウロフ
Afanasev	アファナシエフ
Afanasevsky	アファナシエフスキー
Akhunov	アフーノフ
Ayupov	アユーポフ
Ayatskov	アヤツコフ
Babel	バーベリ
Babenko	バベンコ
Babichev	バビチェフ
Baburin	バブーリン
Bazhov	バジョーフ
Bazarov	バザロフ
Bakunin	バクーニン
Bakusheyev	バクシェエフ
Bakshin	バクシン
Balabin	バラービン
Balakin	バラキン
Balakshin	バラクシン
Balalayev	バララーエフ
Balanev	バラネフ
Barabanov	バラバノフ
Barannikov	バランニコフ
Baranov	バラノフ
Baranovsky	バラノフスキー
Barbashov	バルバショフ
Barsukov	バルスコフ
Barykin	バルィキン
Baryshev	バルィシェフ
Baryshnikov	バルィシュニコフ
Batagayev	バタガエフ
Batanov	バタノフ
Baturin	バトゥーリン
Batyushkin	バチュシュキン
Batsyn	バツィン
Bacherikov	バチェリコフ
Bashmakov	バシュマコフ
Bayunov	バユノフ
Bayandin	バヤンジン
Bevzenko	ベヴゼンコ
Bedarev	ベダレフ、ベーダレフ
Bezborodov	ベズボロドフ
Bezrukov	ベズルコフ
Beketov	ベケトフ
Bekov	ベーコフ
Belashov	ベラショフ
Belevkin	ベレフキン
Belov	ベローフ、ベロフ
Belozerov	ベロゼロフ
Belonogov	ベロノゴフ
Belonosov	ベロノソフ
Belorusov	ベロルソフ
Belousov	ベロウソフ
Belykh	ベルィフ
Beltyukov	ベリチュコフ
Belyayev	ベリャーエフ
Belyakov	ベリャコフ
Berdennikov	ベルジェンニコフ
Berdov	ベルドフ
Berezin	ベレージン
Berezovsky	ベレゾフスキー
Beresnev	ベレスネフ
Besedin	ベセージン
Bespalov	ベスパロフ
Bessarabov	ベッサラーボフ
Beskhmelnitsyn	ベスフメリニツィン
Betin	ベーチン
Beshkarev	ベシュカレフ
Bindyukov	ビンジュコフ
Biryukov	ビリュコフ
Blagovolin	ブラゴヴォリン
Blinnikov	ブリンニコフ
Blinov	ブリノフ
Blokhin	ブロヒーン
Bobkov	ボプコフ
Bobrov	ボブロフ
Bobrovsky	ボブロフスキー
Bobylev	ボブィレフ
Bogatov	ボガトフ
Bogdanov	ボグダーノフ
Boginsky	ボギンスキー
Bogolyubsky	ボゴリュプスキー
Bogomolov	ボゴモロフ
Bodin	ボージン
Bodrov	ボドロフ
Bodryagin	ボドリャギン
Boytsev	ボイツェフ
Bokov	ボーコフ
Bokovikov	ボコヴィコフ
Boldin	ボールジン
Boldyrev	ボールドィレフ、ボルドィレフ
Bolin	ボーリン
Bolotov	ボロトフ
Bolshakov	ボリシャコフ
Bondarev	ボーンダレフ、ボンダレフ
Bondarenko	ボンダレンコ
Bordyuzha	ボルジュジャ
Borisenko	ボリセンコ
Borisov	ボリソフ
Borodayev	ボロダエフ
Borodin	ボロジーン
Borodulin	ボロドゥリン
Borshchyov	ボルショフ、ボルシチョフ
Boskholov	ボスホロフ
Bocharnikov	ボチャルニコフ
Bocharov	ボチャロフ
Bochkaryov	ボチカリョフ
Bragin	ブラーギン
Braginsky	ブラギンスキー
Bratishchev	ブラチーシェフ、ブラチーシチェフ
Bratukhin	ブラトゥヒン
Brudanin	ブルダニン
Brusnitsyn	ブルスニツィン
Bryntsalov	ブルィンツァロフ
Bryukhanov	ブリュハノフ
Bubenin	ブベーニン
Bubyakin	ブビャーキン
Bugayev	ブガエフ
Bugdayev	ブグダエフ
Bugrimov	ブグリモフ
Budazhapov	ブダジャポフ
Buzov	ブーゾフ
Bulavinov	ブラヴィノフ
Bulgakov	ブルガーコフ
Buldayev	ブルダエフ
Bulygin	ブルィギン
Bunin	ブーニン
Bunkov	ブニコフ
Burachenko	ブラチェンコ
Burdukov	ブルドゥコフ
Burdukovsky	ブルドゥコフスキー
Burkov	ブルコフ
Burlakov	ブルラコフ
Burov	ブーロフ
Butenko	ブチェンコ
Butkeyev	ブトケエフ
Butov	ブートフ
Butorin	ブトーリン
Bukhantsev	ブハンツェフ
Buchenkov	ブチェンコフ
Bushmin	ブシュミン
Bushuyev	ブシュエフ
Bykov	ブィコフ
Bystrov	ブィストロフ
Bystryantsev	ブィストリャンツェフ
Bychkov	ブィチコフ
Vavilov	ヴァヴィロフ
Vaganov	ヴァガノフ、ヴァガーノフ
Vaziyev	ヴァジエフ
Vakulenko	ヴァクレンコ
Vakulin	ヴァクリン
Vakunin	ヴァクーニン
Valeyev	ヴァレーエフ
Valov	ヴァロフ
Varennikov	ヴァレンニコフ
Varlamov	ヴァルラモフ
Varnavsky	ヴァルナフスキー
Varov	ヴァロフ
Varukhin	ヴァルーヒン
Vasilev	ヴァシレフ
Vasilevsky	ヴァシレフスキー
Vasilishin	ヴァシリーシン
Vasilev	ヴァシーリエフ
Vasilchenko	ヴァシリチェンコ
Vakhrukov	ヴァフルコフ
Vashchenko	ヴァーシェンコ、ヴァーシチェンコ
Vashchenkov	ヴァーシェンコフ、ヴァーシチェンコフ
Vedernikov	ヴェジェルニコフ
Velikhov	ヴェリホフ
Vengerov	ヴェンゲロフ
Vengerovsky	ヴェンゲロフスキー
Veretennikov	ヴェレチェンニコフ
Vershinin	ヴェルシーニン
Vesyolkin	ヴェショールキン
Veselov	ヴェセローフ
Vecheslov	ヴェチェスロフ
Vechkasov	ヴェチカソフ
Veshnyakov	ヴェシュニャコフ
Vidmanov	ヴィジマノフ
Vikulov	ヴィクロフ
Vilchinsky	ヴィリチンスキー
Vinogradov	ヴィノグラドフ
Vinokurov	ヴィノクロフ
Vitebsky	ヴィチェプスキー
Vishnyov	ヴィシュニョーフ
Vishnevsky	ヴィシュネフスキー
Vishnyakov	ヴィシュニャコフ
Vladimirov	ヴラジーミロフ
Vlasov	ヴラーソフ
Vodorezov	ヴォドレゾフ
Vodyanov	ヴォジャノフ
Voykin	ヴォイキン
Voykov	ヴォイコフ
Voylukov	ヴォイルコフ
Voynov	ヴォイノフ
Volgin	ヴォールギン
Voldorin	ヴォルドリン
Volegov	ヴォレゴフ
Volzhentsev	ヴォルジェンツェフ
Volin	ヴォリン
Volkov	ヴォルコフ
Volkovsky	ヴォルコフスキー
Volkogonov	ヴォルコゴノフ
Volobuyev	ヴォロブエフ
Volodin	ヴォロジン
Volokh	ヴォロフ
Volochkov	ヴォロチコフ
Volyntsev	ヴォルィンツェフ
Volsky	ヴォリスキー
Vorobev	ヴォロビエフ
Vorogushin	ヴォログーシン
Voronin	ヴォローニン
Voronov	ヴォロノフ
Vorontsov	ヴォロンツォフ
Voropayev	ヴォロパーエフ
Vorotnikov	ヴォロトニコフ
Vorfolomeyev	ヴォルフォロメエフ
Voskovetsky	ヴォスコヴェツキー
Vostrotin	ヴォストロチン
Vybornov	ヴィボルノフ
Vylegzhanin	ヴィレグジャーニン
Vyucheysky	ヴィウチェイスキー
Vyalkov	ヴャルコフ
Gaboyev	ガボエフ
Gavrilov	ガヴリーロフ
Gagarin	ガガーリン
Gazeyev	ガゼーエフ
Gaydukov	ガイドゥコフ
Galavteyev	ガラフチェエフ
Galanov	ガラノフ
Galin	ガーリン
Galkin	ガールキン
Galchenko	ガリチェンコ
Gamidov	ガミドフ
Ganibalov	ガニバロフ
Gapeyev	ガペーエフ
Garmashov	ガルマショフ
