Abenius	アベニウス
Åberg	オーバリ
Åbergsson	オーベリソン
Abrahamsson	アブラハムソン
Abramsson	アブラムソン
Adielsson	アディエルソン
Adolfsson	アドルフソン
Agrell	アグレル
Ågren	オーグレーン
Ahlberg	アールバリ
Åhlén	オリアン
Ahlgren	アールグレーン
Ahlkvist	アールクヴィスト
Ahlquist	アールクヴィスト
Ahlqvist	アールクヴィスト
Ahlstedt	アールステット
Åhlstedt	オールステット
Åhlström	オールストレーム
Ahlström	アールストレーム
Ahnsjö	アーンフェ
Ahrenberg	アーレンバリ
Åkerberg	オーケルバリ
Åkerfeldt	オーケルフェルト
Åkerhielm	オーケリエルム
Åkerlund	オーケルルンド
Åkerman	オーケルマン
Åkerström	オーケシュトレーム
Åkesson	オーケソン
Åkrans	オークランス
Alexandersson	アレクサンデション
Alfredsson	アルフレッドソン
Alfvén	アルヴェーン
Allbäck	アールベック
Allgulin	アルギュリーン
Almén	アルメン、アルメアン
Almer	アルマル、アルメル
Almgren	アルムグレーン
Almkvist	アルムクヴィスト
Almquist	アルムクヴィスト
Almqvist	アルムクヴィスト
Almström	アルムストレーム
Alström	アールストレーム
Althén	アルテアン
Älvestam	エルヴェスタム
Alvidson	アルヴィドソン
Amrén	アムレアン
Ander	アンデル
Anderberg	アンデルバリ
Andersson	アンデション
Andréason	アンドレアソン
Andreasson	アンドレアソン
Andree	アンドレー
Andrén	アンドレアン
Andrésen	アンドレセン
Ångström	オングストレーム（オングストローム）
Antonsson	アントンソン
Appelberg	アッペルバリ
Appelgren	アッペルグレーン
Appelkvist	アッペルクヴィスト
Appelman	アッペルマン
Appelquist	アッペルクヴィスト
Appelqvist	アッペルクヴィスト
Appeltofft	アッペルトフト
Armgren	アルムグレーン
Arnell	アーネル
Arnoldson	アルノルドソン
Arrelid	アレリード
Arrhenius	アレニウス
Aruhn	アルーン
Arvidson	アルヴィドソン
Arvidsson	アルヴィドソン
Arwidson	アルヴィドソン
Åsbrink	オースブリンク
Asker	アシェル
Åslund	オースルンド
Asper	アスペル
Asplund	アスプルンド
Asserholt	アッサルホルト
Åström	オーストレーム
Atterberg	アッテルバリ
Augustsson	アウグストソン
Aulin	アウリーン
Aurelius	アウレリウス
Axberg	アクスバリ
Axelson	アクセルソン
Axelsson	アクセルソン
Axén	アクセーン
Bäck	ベック
Backlin	バックリーン
Backlund	バックルンド
Backman	バックマン
Bäckström	ベックストレーム
Bartels	バルテルス
Bäverstam	ベーヴェルシュタム
Beckman	ベックマン
Been	ベーン
Bellman	ベルマン
Bendix	ベンディクス
Bengtsson	ベントソン
Berg	バーリ
Bergelin	バリエリーン
Bergendahl	バリエンダール
Bergenfeldt	バリエンフェルト
Bergenholm	バリエンホルム
Bergenkvist	バリエンクヴィスト
Bergenskjöld	バリエンフェルド
Bergenström	バリエンストレーム
Berger	バーリエル
Bergfelt	バーリフェルト
Bergfors	バーリフォーシュ
Berggren	バーリグレーン
Bergkvist	バーリクヴィスト
Berglin	バーリリーン
Berglind	バーリリンド
Bergling	バーリリン
Berglund	バーリルンド
Bergman	バーリマン（ベルイマン）
Bergquist	バーリクヴィスト
Bergqvist	バーリクヴィスト
Bergström	バーリストレーム
Berntsson	ベルントソン
Beronius	ベロニウス
Berwald	ベールヴァルド
Berzelius	ベルセリウス
Beyron	ベイロン
