Adéla	アデーラ
Adriana	アドリアナ
Agáta	アガータ
Albína	アルビーナ
Alena	アレナ
Alenka	アレンカ
Alexandra	アレクサンドラ
Alice	アリツェ
Alžbeta	アルシュベタ
Alžběta	アルシュビェタ
Amálie	アマーリエ
Anastázie	アナスターズィエ
Anděla	アンジェラ
Andrea	アンドレア
Aneta	アネタ
Anežka	アネシュカ
Angelika	アンゲリカ
Anna	アンナ
Apolena	アポレナ
Bára	バーラ
Barbora	バルボラ
Beáta	ベアータ
Bedřiška	ベドジシュカ
Běla	ビェラ
Berta	ベルタ
Blanka	ブランカ
Blažena	ブラジェナ
Bohdana	ボフダナ
Bohumila	ボフミラ
Bohuslava	ボフスラヴァ
Božena	ボジェナ
Cecílie	ツェツィーリエ
Dagmar	ダグマル
Dana	ダナ
Daniela	ダニエラ
Danuše	ダヌシェ
Danuška	ダヌシュカ
Darina	ダリナ
Daša	ダシャ
Dáša	ダーシャ
Denisa	デニサ
Diana	ディアナ
Dita	ディタ
Dobromila	ドブロミラ
Dobroslava	ドブロスラヴァ
Dominika	ドミニカ
Dorota	ドロタ
Drahomíra	ドラホミーラ
Drahoslava	ドラホスラヴァ
Drahuše	ドラフシェ
Edita	エディタ
Eliška	エリシュカ
Ema	エマ
Emília	エミーリア
Emílie	エミーリエ
Erika	エリカ
Ester	エステル
Eva	エヴァ
Evelína	エヴェリーナ
Františka	フランチシュカ
Gabriela	ガブリエラ
Galina	ガリナ
Hana	ハナ
Hedvika	ヘドヴィカ
Helena	ヘレナ
Hermína	ヘルミーナ
Ilona	イロナ
Irena	イレナ
Iva	イヴァ
Ivana	イヴァナ
Iveta	イヴェタ
Ivona	イヴォナ
Izabela	イザベラ
Jana	ヤナ
Jarmila	ヤルミラ
Jaromíra	ヤロミーラ
Jaroslava	ヤロスラヴァ
Jaruška	ヤルシュカ
Jindra	インドラ
Jindřiška	インジシュカ
Jiřina	イジナ、イルジナ
Jiřinka	イジンカ
Jitka	イトゥカ、イトカ
Johana	ヨハナ
Jolana	ヨラナ
Jozefína	ヨゼフィーナ
Judita	ユディタ
Júlia	ユーリア
Julie	ユリエ
Justýna	ユスティーナ
Kamila	カミラ
Karina	カリナ
Karla	カルラ
Karolína	カロリーナ
Katarína	カタリーナ
Kateřina	カテジナ
Katka	カトカ
Klára	クラーラ
Kristína	クリスチーナ
Kristina	クリスチナ
Kristýna	クリスティーナ
Květa	クヴェタ
Květoslava	クヴェトスラヴァ
Květuše	クヴェトゥシェ
Lada	ラダ
Ladislava	ラディスラヴァ
Laura	ラウラ
Lenka	レンカ
Leona	レオナ
Liběna	リビェナ
Libuše	リブシェ
Liliana	リリアナ
Linda	リンダ
Lubomíra	ルボミーラ
Lucie	ルツィエ
Ludmila	ルドミラ
Lýdia	リーディア
Lýdie	リーディエ
Magdaléna	マグダレーナ
Mahulena	マフレナ
Marcela	マルツェラ
Mária	マーリア
Mariana	マリアナ
Marie	マリエ
Marika	マリカ
Marina	マリナ
Markéta	マルケータ
Marta	マルタ
Martina	マルチナ
Michaela	ミハエラ、ミヒャエラ
Milada	ミラダ
Milena	ミレナ
Miloslava	ミロスラヴァ
Miluše	ミルシェ
Miluška	ミルシュカ
Miriam	ミリアム
Miroslava	ミロスラヴァ
Monika	モニカ
Naděžda	ナジェジュダ
Natálie	ナターリエ
Nataša	ナタシャ
Nela	ネラ
Nikola	ニコラ
Noemi	ノエミ
Ofelia	オフェリア
Oldřiška	オルドジシュカ、オルドリシュカ
Olga	オルガ
Otýlie	オティーリエ
Pavla	パヴラ
Pavlína	パヴリーナ
Petra	ペトラ
Radana	ラダナ
Radka	ラトカ
Radmila	ラドミラ
Radomíra	ラドミーラ
Regina	レギナ
Renáta	レナータ
Romana	ロマナ
Rozália	ロザーリア
Rozálie	ロザーリエ
Ružena	ルジェナ
Růžena	ルージェナ
Sabina	サビナ
Sára	サーラ
Šárka	シャールカ
Šarlota	シャルロタ
Saša	サシャ
Silvie	シルヴィエ
Simona	シモナ
Šimona	シモナ
Slavěna	スラヴェナ
Soňa	ソニャ
Stanislava	スタニスラヴァ
Štefánia	シュテファーニア
Stela	ステラ
Štěpánka	シュチェパーンカ
Svatava	スヴァタヴァ
Světla	スヴェトラ
Světlana	スヴェトラナ
Tamara	タマラ
Táňa	ターニャ
Taťána	タチャーナ
Tereza	テレザ
Uršula	ウルシュラ
Václava	ヴァーツラヴァ
Valentýna	ヴァレンティーナ
Valérie	ヴァレーリエ
Vanesa	ヴァネサ
Věnceslava	ヴェンツェスラヴァ
Vendula	ヴェンドゥラ
Venuše	ヴェヌシェ
Věra	ヴィエラ
Veronika	ヴェロニカ
Věroslava	ヴェロスラヴァ
Viktorie	ヴィクトリエ
Viola	ヴィオラ
Vítězslava	ヴィーチェッスラヴァ
Vladěna	ヴラジェナ
Vladimíra	ヴラディミーラ
Vladislava	ヴラディスラヴァ
Vlasta	ヴラスタ
Vlastimila	ヴラスチミラ
Vlastislava	ヴラスチスラヴァ
Vojtěška	ヴォイチェシュカ
Žaneta	ジャネタ
Zděnka	ズジェンカ
Zdeňka	ズデンカ
Zlata	ズラタ
Zlatuše	ズラトゥシェ
Zlatuška	ズラトゥシュカ
Žofie	ジョフィエ
Zora	ゾラ
Zuzana	ズザナ
