Ada	アーダ
Adele	アデーレ
Adelheid	アーデルハイト
Adelina	アデリナ
Adeltraud	アーデルトラウト
Agathe	アガーテ
Agnes	アグネス
Alberta	アルベルタ
Albina	アルビーナ
Aleida	アライダ
Alexandra	アレクサンドラ
Alexia	アレクシア
Alice	アリーセ
Alina	アリーナ
Alma	アルマ
Aloisia	アロイジア
Amalia	アマーリア
Amalie	アマーリエ
Amelia	アメリア
Amelie	アメリー
Andrea	アンドレア
Angela	アンゲラ
Angelika	アンゲーリカ
Anna	アンナ
Anne	アンネ
Annelie	アンネリーエ、アンネリー
Annelies	アンネリース
Anneliese	アンネリーゼ
Annemarie	アンネマリー
Anselma	アンゼルマ
Antonia	アントーニア
Apollonia	アポロニア
Astrid	アストリット
Augusta	アウグスタ
Aurelia	アウレリア
Barbara	バルバラ
Beatrix	ベアトリクス
Benedikta	ベネディクタ
Berta	ベルタ、ベアタ
Bertha	ベルタ、ベアタ
Betina	ベティーナ
Bettina	ベッティーナ
Bianca	ビアンカ
Bianka	ビアンカ
Birgit	ビルギット
Brigitta	ブリギッタ
Brigitte	ブリギッテ
Brünhild	ブリュンヒルト
Brünhilde	ブリュンヒルデ
Cäcilia	ツェツィーリア
Cäcilie	ツェツィーリエ
Camilla	カミラ
Carina	カリーナ
Carla	カルラ
Caroline	カロリーネ
Cassandra	カサンドラ
Charlotte	シャルロッテ
Christa	クリスタ
Christiane	クリスティアーネ
Christin	クリスティン
Christina	クリスティーナ
Christine	クリスティーネ
Clara	クラーラ
Claudia	クラウディア
Clementine	クレメンティーネ
Constanze	コンスタンツェ
Cordula	コルドゥラ
Corinna	コリンナ
Cornelia	コルネリア
Corona	コローナ
Cosima	コジマ
Dagmar	ダクマー
Daniela	ダニエラ
Debora	デボラ
Delia	デリア
Diana	ディアナ
Dietlind	ディートリント
Dietlinde	ディートリンデ
Doris	ドーリス
Dorothea	ドロテーア
Dorothee	ドロテー
Ebba	エッバ
Edda	エッダ
Edelgard	エデルガルト
Edeltrud	エデルトルート
Edith	エーディト
Ehrentraud	エーレントラウト
Eleonora	エレオノーラ
Eleonore	エレオノーレ
Elfriede	エルフリーデ
Elisa	エリーザ
Elisabeth	エリーザベト
Elise	エリーゼ
Elke	エルケ
Ella	エラ
Elma	エルマ
Elsa	エルザ
Else	エルゼ
Elvira	エルヴィーラ
Emilia	エミーリア
Emilie	エミーリエ
Emma	エマ
Emmi	エミ
Erika	エーリカ
Ermengard	エルメンガルト
Ermenhild	エルメンヒルト
Ermenhilde	エルメンヒルデ
Ermentraud	エルメントラウト
Ermentrud	エルメントルート
Erna	エルナ
Ernesta	エルネスタ
Ernestine	エルネスティーネ
Eva	エーファ
Fine	フィーネ
Flora	フローラ
Florentina	フロレンティーナ
Florenzia	フロレンツィア
Franziska	フランツィスカ
Frida	フリーダ
Frieda	フリーダ
Friede	フリーデ
Friedegund	フリーデグント
Friedelinde	フリーデリンデ
Friederike	フリーデリーケ
Gabriela	ガブリエラ
Gabriele	ガブリエーレ
Georgine	ゲオルギーネ
Gerda	ゲルダ
Gerde	ゲルデ
Gerlinde	ゲアリンデ
Gerta	ゲルタ
Gertraud	ゲルトラウト
Gertraude	ゲルトラウデ
Gertrud	ゲルトルート
Gertrude	ゲルトルーデ
Gilberta	ギルベルタ
Gisela	ギーゼラ
Greta	グレータ
Gretchen	グレートヒェン
Grete	グレーテ
Gretel	グレーテル
Gudrun	グートルーン
Hanna	ハンナ
Hannah	ハンナ
Hanne	ハンネ
Hannelore	ハンネローレ
Hedda	ヘッダ
Hedwig	ヘートヴィヒ
Heida	ハイダ
Heidemarie	ハイデマリー
Heidi	ハイディ
Heike	ハイケ
Heilwig	ハイルヴィヒ
Helena	ヘレナ
Helene	ヘレーネ
Helga	ヘルガ
Hella	ヘラ
Helma	ヘルマ
Helmina	ヘルミーナ
Helmine	ヘルミーネ
Heloise	ヘロイーゼ
Henriette	ヘンリエッテ
Henrike	ヘンリーケ
Hermine	ヘルミーネ
Herta	ヘルタ
Hertha	ヘルタ
Hilde	ヒルデ
Hildegard	ヒルデガルト
Hildegund	ヒルデグント
Hildegunde	ヒルデグンデ
Hiltraud	ヒルトラウト
Hiltrud	ヒルトルート
Ida	イーダ
Ilsa	イルザ
Ilse	イルゼ
Ina	イーナ
Inga	インガ
Inge	インゲ
Ingeborg	インゲボルク
Ingrid	イングリット、イングリート
Irene	イレーネ
Iris	イーリス
Irma	イルマ
Irmela	イルメラ
Irmengard	イルメンガルト
Irmentraud	イルメントラウト
Irmentrud	イルメントルート
Irmgard	イルムガルト
Irmhild	イルムヒルト
Irmhilde	イルムヒルデ
Isabel	イザベル、イーザベル
Isabell	イザベル、イーザベル
Isabella	イザベラ
Isidora	イジドーラ
Isolde	イゾルデ
Jasmin	ヤスミーン
Jenny	イェニー
Jiline	イリーネ
Johanna	ヨハンナ、ヨハナ
Josefine	ヨーゼフィーネ、ヨゼフィーネ
Josephine	ヨゼフィーネ、ヨーゼフィーネ
Judith	ユーディット、ユーディト
Julia	ユーリア、ユリア
Juliana	ユリアーナ
Juliane	ユリアーネ
Jutta	ユッタ
Jutte	ユッテ
Kaja	カーヤ
Kamilla	カミラ
Karin	カーリン
Karina	カリーナ
Karla	カルラ
Karoline	カロリーネ
Kassandra	カサンドラ
Katarina	カタリーナ
Katharina	カタリーナ
Käthe	ケーテ
Katherina	カテリーナ
Katinka	カティンカ
Katja	カチヤ
Katrin	カトリン
Katrina	カトリナ
Klara	クラーラ
Klarissa	クラリッサ
Klaudia	クラウディア
Konstanze	コンスタンツェ
Kreszenz	クレスツェンツ
Kriemhild	クリームヒルト
Kriemhilde	クリームヒルデ
Kristin	クリスティーン
Kristine	クリスティーネ
Kunigunde	クーニグンデ
Lale	ラーレ
Lara	ラーラ
Laura	ラウラ
Lea	レーア
Lena	レーナ
Lene	レーネ
Leni	レーニ
Leona	レオナ
Leonie	レオニー
Leonora	レオノーラ
Leonore	レオノーレ
Liese	リーゼ
Liesel	リーゼル
Lieselotte	リーゼロッテ
Lili	リリー
Lilli	リリー
Linda	リンダ
Lisa	リーザ
Liselotte	リーゼロッテ
Lore	ローレ
Lotte	ロッテ
Louisa	ルイーザ
Luise	ルイーゼ
Magda	マクダ
Magdalena	マクダレーナ
Magdalene	マクダレーネ
Maja	マーヤ
Manuela	マヌエラ
Marga	マルガ
Margareta	マルガレータ
Margarete	マルガレーテ
Margaretha	マルガレータ
Margarethe	マルガレーテ
Margot	マルゴット
Margret	マルグレート
Margreth	マルグレート
Margrit	マルグリット
Maria	マリーア
Marianne	マリアンネ
Marie	マリー
Marina	マリーナ
Marion	マーリオン
Marlen	マルレーン
Marlene	マルレーネ
Martha	マルタ
Marthe	マルテ
Martina	マルティナ
Mathilde	マティルデ
Maxine	マクシーネ
Mechthild	メヒティルト
Mechthilde	メヒティルデ
Mechtild	メヒティルト
Mechtilde	メヒティルデ
Meike	マイケ
Melanie	メラニー
Mercedes	メルツェーデス
Meta	メータ
Mia	ミア
Michaela	ミヒャエラ
Mirjam	ミリヤム
Monika	モーニカ、モニカ
Nadja	ナディヤ
Natalie	ナターリエ
Nathalie	ナターリエ
Nicola	ニコラ
Nicole	ニコル
Nina	ニーナ
Nora	ノーラ
Olivia	オリーヴィア
Ottilie	オティーリエ
Patricia	パトリツィア
Paula	パウラ
Pauline	パウリーネ
Petra	ペトラ、ペートラ
Petronella	ペトロネラ
Philine	フィリーネ
Philippa	フィリッパ
Phöbe	フェーベ
Pia	ピーア
Rachel	ラッヘル
Rahel	ラーエル、ラーヘル
Rebekka	レーベッカ、レベッカ
Regina	レギーナ
Renata	レナータ
Renate	レナーテ
Ria	リア
Ricarda	リカルダ
Richarda	リヒャルダ
Rita	リタ
Romilda	ロミルダ
Romy	ロミー
Rosa	ローザ
Rosalinde	ローザリンデ
Rose	ローゼ
Rosemarie	ローゼマリー
Rosina	ロジーナ
Rosine	ロジーネ
Roswitha	ロスヴィータ
Ruth	ルート
Sabine	ザビーネ
Sabrina	ザブリーナ
Sandra	ザンドラ
Sara	ザーラ
Sarah	ザーラ
Sascha	ザシャ
Saskia	ザスキア
Selma	ゼルマ
Sibylla	ジビラ
Sibylle	ジビレ
Sieglinde	ジークリンデ
Siegrid	ジークリット
Siegrun	ジーグルーン
Sigrid	ジークリット
Sigrun	ジークルーン
Silke	ジルケ
Silvia	ジルヴィア
Simone	ジモーネ
Sofia	ゾフィーア
Sofie	ゾフィー、ゾフィ
Sophia	ゾフィーア
Sophie	ゾフィー、ゾフィ
Stefanie	シュテファーニエ、シュテファニ
Stephanie	シュテファニエ、シュテファニ
Susann	ズーザン
Susanna	ズザナ、ズザンナ
Susanne	ズザネ、ズザンネ
Susi	ズージ
Sybille	ジビレ
Sylvia	ジルヴィア
Tabita	タビタ
Tabitha	タビタ
Teresa	テレーザ
Terese	テレーゼ
Thea	テア
Thekla	テクラ
Theresa	テレーザ
Therese	テレーゼ
Theresia	テレージア
Tiana	ティアナ
Trudeliese	トルデリーゼ
Ulla	ウラ
Ulrike	ウルリーケ
Ursula	ウルズラ
Uschi	ウッシ
Uta	ウータ
Ute	ウーテ
Valerie	ヴァーレリー
Vanessa	ヴァネサ
Vera	ヴェラ
Veronika	ヴェローニカ
Victoria	ヴィクトーリア
Viktoria	ヴィクトーリア
Walburg	ヴァルブルク
Walburga	ヴァルブルガ
Waltraud	ヴァルトラウト
Waltrud	ヴァルトルート
Waltrude	ヴァルトルーデ
Wanda	ヴァンダ
Wendelgard	ヴェンデルガルト
Wilhelmina	ヴィルヘルミーナ
Wilhelmine	ヴィルヘルミーネ
Wilma	ヴィルマ
Winfriede	ヴィンフリーデ
Xaveria	クサヴェリア
Zäzilia	ツェツィーリア
Zäzilie	ツェツィーリエ
