Abigaíl	アビガイル
Abril	アブリル
Ada	アダ
Adalina	アダリナ
Adela	アデラ
Adelaida	アデライダ
Adelina	アデリナ
Adelita	アデリタ
Adelmira	アデルミラ
Adora	アドラ
Adoración	アドラシオン
Adriana	アドリアナ
Agata	アガタ
Águeda	アゲダ
Agustina	アグスティナ
Aida	アイダ
Aina	アイナ
Alana	アラナ
Alba	アルバ
Albina	アルビナ
Aldonza	アルドンサ
Alejandra	アレハンドラ
Alejandrina	アレハンドリナ
Aleta	アレタ
Alexandra	アレクサンドラ
Alexia	アレシア
Alicia	アリシア
Alita	アリタ
Alma	アルマ
Almudena	アルムデナ
Alondra	アロンドラ
Alta	アルタ
Amada	アマダ
Amalia	アマリア、アマーリア
Amanda	アマンダ
Amara	アマラ
Amaranta	アマランタ
Amelia	アメーリア
Amparo	アンパロ
Ana	アナ
Anabel	アナベル
Anastasia	アナスタシア
Andrea	アンドレア
Ángela	アンヘラ
Ángeles	アンヘレス
Angélica	アンヘリカ
Angelina	アンヘリナ
Ángelita	アンヘリタ
Angustias	アングスティアス
Anita	アニタ
Anna	アンナ
Anselma	アンセルマ
Antonella	アントネジャ
Antonia	アントニア
Anunciación	アヌンシアシオン
Araceli	アラセリ
Aracelis	アラセリス
Arcelia	アルセリア
Ariadna	アリアドナ
Asunción	アスンシオン
Aurora	アウロラ
Avril	アブリル
Azalea	アサレア
Azucena	アスセナ
Bárbara	バルバラ
Basilia	バシリア
Beatriz	ベアトリス
Begoña	ベゴーニャ
Belén	ベレン
Belinda	ベリンダ
Benita	ベニータ
Bernarda	ベルナルダ
Bernardita	ベルナルディタ
Berta	ベルタ
Betania	ベタニア
Bianca	ビアンカ
Bibiana	ビビアナ
Bienvenida	ビエンベニダ
Blanca	ブランカ
Brígida	ブリヒダ
Brisa	ブリサ
Briseida	ブリセイダ
Brita	ブリタ
Brunilda	ブルニルダ
Camila	カミラ
Cande	カンデ
Candela	カンデラ
Candelaria	カンデラリア
Candelas	カンデラス
Caridad	カリダード
Carina	カリナ
Carisa	カリサ
Carla	カルラ
Carlota	カルロータ
Carmela	カルメラ
Carmelita	カルメリタ
Carmen	カルメン
Carmencita	カルメンシータ
Carolina	カロリーナ
Casandra	カサンドラ
Casilda	カシルダ
Catalina	カタリーナ
Catarina	カタリナ
Cecilia	セシリア
Celeste	セレステ
Celestina	セレスティナ
Celia	セリア
Charo	チャロ
Chelo	チェロ
Chita	チータ
Chus	チュス
Clara	クララ
Clarisa	クラリーサ
Claudia	クラウディア
Cloe	クロエ
Clorinda	クロリンダ
Concepción	コンセプシオン
Concha	コンチャ
Conchita	コンチータ
Constanza	コンスタンサ
Consuela	コンスエラ
Consuelo	コンスエロ
Crescencia	クレスセンシア
Cristina	クリスティナ
Cruz	クルス
Cruzita	クルシタ
Custodia	クストディア
Dafne	ダフネ
Daira	ダイラ
Dalia	ダリア
Dana	ダナ
Daniela	ダニエラ
Débora	デボラ
Déborah	デボラ
Deifilia	デイフィリア
Delfina	デルフィナ、デルフィーナ
Desideria	デシデリア
Desirée	デシレー
Diana	ディアナ
Dolores	ドロレス
Dominga	ドミンガ
Dominica	ドミニカ
Domitila	ドミティラ
Dora	ドラ
Dorita	ドリタ
Dorotea	ドロテア
Dulce	ドゥルセ
Edelmira	エデルミラ
Eduarda	エドゥアルダ
Elba	エルバ
Elena	エレナ
Eliana	エリアナ
Elicia	エリシア
Elmira	エルミラ
Elodia	エロディア
Eloísa	エロイサ
Elvira	エルビラ
Ema	エマ
Emelina	エメリナ
Emigdia	エミグディア
Emilia	エミリア
Emiliana	エミリアナ
Emperatriz	エンペラトリス、エンペラトリース
Encarna	エンカルナ
Encarnación	エンカルナシオン
Encarnita	エンカルニタ
Enriqueta	エンリケタ
Ercilia	エルシリア
Erika	エリカ
Ernesta	エルネスタ
Esmeralda	エスメラルダ
Esperanza	エスペランサ
Estefanía	エステファニア
Estela	エステラ
Ester	エステル
Estrella	エストレジャ
Eufemia	エウフェミア
Eugenia	エウヘニア
Eulalia	エウラリア
Eva	エバ
Evelina	エベリナ
Evita	エビータ
Fabiana	ファビアナ
Fabiola	ファビオラ
Fátima	ファティマ
Felicia	フェリシア
Feliciana	フェリシアナ
Felicidad	フェリシダド
Felicitas	フェリシタス
Felipa	フェリパ
Fernanda	フェルナンダ
Fidelia	フィデリア
Filomena	フィロメナ
Flavia	フラビア
Flora	フロラ
Florencia	フロレンシア
Florentina	フロレンティナ
Francisca	フランシスカ
Frida	フリダ
Gabriela	ガブリエラ
Gema	ヘマ
Genoveva	ヘノベバ
Gertrudis	ヘルトルディス
Gisela	ヒセラ
Gloria	グロリア
Gracia	グラシア
Graciana	グラシアナ
Graciela	グラシエラ
Guadalupe	グアダルペ
Guillermina	ギジェルミーナ
Guiomar	ギオマル
Helena	エレナ
Herminia	エルミニア
Hilda	イルダ
Idoya	イドジャ
Ilana	イラーナ
Imelda	イメルダ
Inés	イネス
Inéz	イネス
Inma	インマ
Inmaculada	インマクラダ
Irene	イレネ
Iris	イリス
Isabel	イサベル
Isbel	イスベル
Isidora	イシドラ
Ivette	イベッテ
Jacinta	ハシンタ
Jade	ハデ
Jasmín	ハスミン
Jessenia	ヘッセニア
Jessica	ヘシカ
Jesusa	ヘスサ
Jimena	ヒメナ
Joana	ホアナ
Josefina	ホセフィーナ
Jovita	ホビタ
Juana	フアナ
Juanita	フアニタ
Julia	フリア
Karina	カリナ
Lara	ララ
Laura	ラウラ
Leandra	レアンドラ
Leocadia	レオカディア
Leonor	レオノル
Leticia	レティシア
Liana	リアナ
Lidia	リディア
Liliana	リリアナ
Lisa	リサ
Loida	ロイダ
Lola	ロラ
Lolita	ロリタ
Lorena	ロレナ
Lorenza	ロレンサ
Lourdes	ロウルデス
Luana	ルアナ
Lucía	ルシア
Luciana	ルシアナ
Luisa	ルイサ
Luisina	ルイシーナ
Luna	ルナ
Lupe	ルペ
Lupita	ルピタ
Luz	ルース
Macarena	マカレナ
Macaria	マカリア
Magdalena	マグダレナ
Maite	マイテ
Malena	マレナ
Malvina	マルビナ
Manola	マノラ
Manuela	マヌエラ
Manuelita	マヌエリタ
Marcela	マルセラ
Marcelina	マルセリナ
Marcia	マルシア
Margarita	マルガリータ
María	マリア
Mariana	マリアナ
Marianela	マリアネラ
Mariangela	マリアンヘラ
Mariangeles	マリアンヘレス
Maribel	マリベル
Maricela	マリセラ
Maricruz	マリクルス
Marilú	マリルー
Marina	マリナ
Marisa	マリサ
Marisol	マリソル
Marita	マリタ
Marta	マルタ
Martina	マルティナ
Martita	マルティタ
Matilde	マティルデ
Mayte	マイテ
Melania	メラニア
Mercedes	メルセデス
Miguela	ミゲラ
Milagros	ミラグロス
Miranda	ミランダ
Mireia	ミレイア
Mirela	ミレーラ
Miriam	ミリアム
Modesta	モデスタ
Mónica	モニカ
Nadia	ナディア
Natalia	ナタリア
Nazarena	ナサレナ
Neva	ネバ
Nieve	ニエベ
Nieves	ニエベス
Nilda	ニルダ
Noelia	ノエリア
Noemí	ノエミ
Nohemi	ノエミ
Nuria	ヌリア
Octavia	オクタビア
Odalis	オダリス
Ofelia	オフェリア
Olalla	オラジャ
Olivia	オリビア
Paca	パカ
Paloma	パロマ
Pamela	パメラ
Paquita	パキタ
Pascuala	パスクワラ、パスクアラ
Pastora	パストラ
Patricia	パトリシア
Paula	パウラ
Paulina	パウリーナ
Paz	パース
Penélope	ペネロペ
Pepita	ペピタ
Perla	ペルラ
Perlita	ペルリタ
Perpetua	ペルペトゥア
Petrona	ペトロナ
Pía	ピア
Piedad	ピエダド
Pilar	ピラル
Pili	ピリ
Priscila	プリシラ
Prudencia	プルデンシア
Rafaela	ラファエラ
Raimunda	ライムンダ
Ramira	ラミラ
Ramona	ラモナ
Raquel	ラケール
Rebeca	レベカ
Regina	レヒーナ
Reginita	レヒニタ
Reina	レイナ
Remedios	レメディオス
Renata	レナタ
Reyna	レイナ
Ricarda	リカルダ
Rita	リタ
Roberta	ロベルタ
Robertina	ロベルティナ
Rocío	ロシオ
Rosa	ローサ
Rosario	ロサリオ
Rosita	ロシータ
Rubí	ルビー
Rufina	ルフィナ
Salud	サルド
Samanta	サマンタ
Sara	サラ
Sarita	サリタ
Saturnina	サトゥルニナ
Selena	セレナ
Serafina	セラフィナ
Silvia	シルビア
Socorro	ソコロ
Sofía	ソフィア
Sol	ソル
Solana	ソラナ
Soledad	ソレダド
Sonia	ソニア
Susana	スサナ
Susanita	スサニタ
Tamara	タマラ
Tatiana	タティアナ
Tecla	テクラ
Teodora	テオドラ
Teófila	テオフィラ
Tere	テレ
Teresa	テレサ
Tomasa	トマサ
Tonia	トニア
Trinidad	トリニダード
Valencia	バレンシア
Valentia	バレンティア
Valentina	バレンティナ
Valeria	バレリア
Vanesa	バネサ
Vanessa	バネッサ
Verónica	ベロニカ
Victoria	ビクトリア
Violeta	ビオレタ、ビオレータ
Virginia	ビルヒニア
Visitación	ビシタシオン
Viviana	ビビアナ
Xiomara	シオマラ
Yesenia	ジェセニア
Yessenia	ジェッセニア
Ynes	イネス
Yolanda	ジョランダ
Ysabel	イサベル
Zarita	サリタ
Zenaida	セナイダ
