Aada	アーダ
Aamu	アーム
Ada	アダ
Aija	アイヤ
Aila	アイラ
Aili	アイリ
Aina	アイナ
Aini	アイニ
Ainikki	アイニッキ
Aino	アイノ
Aira	アイラ
Airi	アイリ
Aleksandra	アレクサンドラ
Aliisa	アリーサ
Alina	アリナ
Alisa	アリサ
Alli	アッリ
Alma	アルマ
Amalia	アマリア
Amanda	アマンダ
Anelma	アネルマ
Anita	アニタ
Anitta	アニッタ
Anja	アニヤ
Anna	アンナ
Anne	アンネ
Annele	アンネレ
Anneli	アンネリ
Anni	アンニ
Anniina	アンニーナ
Annika	アンニカ
Annikki	アンニッキ
Annukka	アンヌッカ
Ansa	アンサ
Antia	アンティア
Anu	アヌ
Arja	アルヤ
Armi	アルミ
Assi	アッシ
Asta	アスタ
Auli	アウリ
Aulikki	アウリッキ
Aune	アウネ
Auni	アウニ
Aura	アウラ
Auri	アウリ
Birgitta	ビルギッタ
Eeva	エーヴァ
Eevi	エーヴィ
Eija	エイヤ
Eila	エイラ
Eine	エイネ
Eini	エイニ
Eira	エイラ
Eleonoora	エレオノーラ
Eliina	エリーナ
Eliisa	エリーサ
Elina	エリナ
Elisa	エリサ
Elisabet	エリサベト
Ella	エッラ
Ellen	エッレン
Elli	エッリ
Elma	エルマ
Elmi	エルミ
Elna	エルナ
Elsa	エルサ
Else	エルセ
Elsi	エルシ
Elvi	エルヴィ
Emilia	エミリア
Emma	エンマ
Enni	エンニ
Erja	エルヤ
Essi	エッシ
Ester	エステル
Esteri	エステリ
Eveliina	エヴェリーナ
Fanni	ファンニ
Floora	フローラ
Hanna	ハンナ
Hannamari	ハンナマリ
Hanne	ハンネ
Hannele	ハンネレ
Heidi	ヘイディ
Heini	ヘイニ
Helena	ヘレナ
Helga	ヘルガ
Heli	ヘリ
Helinä	ヘリナ
Heljä	ヘリヤ
Helka	ヘルカ
Hellä	ヘッラ
Helle	ヘッレ
Hellevi	ヘッレヴィ
Helli	ヘッリ
Hellin	ヘッリン
Helmi	ヘルミ
Helvi	ヘルヴィ
Hely	ヘリュ
Henna	ヘンナ
Henni	ヘンニ
Henriikka	ヘンリーッカ
Hertta	ヘルッタ
Heta	ヘタ
Hilda	ヒルダ
Hilja	ヒリヤ
Hilkka	ヒルッカ
Hille	ヒッレ
