Adélaïde	アデライド
Adèle	アデール
Adeline	アドリーヌ
Adrienne	アドリエンヌ
Agathe	アギャット、アガット
Agnès	アニエス
Aimée	エメ
Albertine	アルベルティーヌ
Alette	アレット
Alexandra	アレクサンドラ
Alexandrine	アレクサンドリーヌ
Alice	アリス
Aline	アリーヌ
Alison	アリソン
Amélie	アメリー
Ana-Maria	アナ＝マリア
Anaïs	アナイス
Andrée	アンドレ
Angèle	アンジェル
Angeline	アンジェリーヌ
Angélique	アンジェリク
Anna	アンナ
Annabelle	アナベル
Anne	アンヌ
Anne-Marie	アンヌ＝マリー
Annette	アネット
Antoinette	アントワネット
Apolline	アポリーヌ
Arabelle	アラベル
Ariane	アリアーヌ
Arianne	アリアンヌ
Arielle	アリエル
Arlette	アルレット
Armelle	アルメル
Astrid	アストリ
Audrey	オドレイ
Augustine	オーギュスティーヌ
Aurélia	オレリア
Aurélie	オレリー
Aurore	オロール
Babette	バベット
Barbara	バルバラ
Béatrice	ベアトリス
Bénédicte	ベネディクト
Benoîte	ブノワト
Bérengère	ベランジェール
Bérénice	ベレニス
Bernadette	ベルナデット
Berthe	ベルト
Bertille	ベルティーユ
Blanche	ブランシュ
Blandine	ブランディーヌ
Bluette	ブリュエット
Brigitte	ブリジット
Camille	カミーユ
Carine	カリーヌ
Carole	カロル
Caroline	カロリーヌ
Cassandre	カサンドル
Catherine	カトリーヌ
Cécile	セシール、セシル
Céleste	セレスト
Célestine	セレスティーヌ
Célia	セリア
Céline	セリーヌ
Chantal	シャンタル
Charline	シャルリーヌ
Charlotte	シャルロット
Chloé	クロエ
Christelle	クリステル
Christiane	クリスティアーヌ、クリスチアーヌ
Christine	クリスティーヌ、クリスチーヌ
Claire	クレール
Clarisse	クラリス
Claude	クロード
Claudette	クローデット
Claudine	クローディーヌ
Clémence	クレマンス
Clémentine	クレマンティーヌ、クレマンチーヌ
Cloé	クロエ
Clothilde	クロティルド
Clotilde	クロティルド
Colette	コレット
Colombe	コロンブ
Constance	コンスタンス
Coralie	コラリー
Corentine	コランティーヌ
Corinne	コリンヌ
Danièle	ダニエル
Danielle	ダニエル
Débora	デボラ
Déborah	デボラ
Delphine	デルフィーヌ
Denise	ドゥニーズ
Désirée	デジレ
Diane	ディアヌ、ディアーヌ
Dominique	ドミニク
Doriane	ドリアーヌ
Dorothée	ドロテ
Édith	エディト、エディット
Edwige	エドウィージュ
Églantine	エグランティーヌ
Éléonore	エレオノール
Éliane	エリアーヌ
Éline	エリーヌ
Élisabeth	エリザベト
Élise	エリーズ
Élodie	エロディ
Éloïse	エロイーズ
Elvire	エルヴィール
Émeline	エメリーヌ
Émilie	エミリー
Émilienne	エミリエンヌ
Emma	エマ
Emmanuelle	エマニュエル
Ernestine	エルネスティーヌ
Estelle	エステル
Eugénie	ウジェニー、ウージェニー
Eulalie	ウラリー
Ève	エーヴ
Éveline	エヴリーヌ
Évelyne	エヴリーヌ
Fabienne	ファビエンヌ
Faustine	フォスティーヌ
Félicie	フェリシー
Félicienne	フェリシエンヌ
Félicité	フェリシテ
Fernande	フェルナンド
Flavie	フラヴィ
Fleur	フルール
Florence	フロランス
Francette	フランセット
Francine	フランシーヌ
Françoise	フランソワーズ
Frédérique	フレデリーク
Gabrielle	ガブリエル、ギャブリエル
Gaëlle	ガエル、ギャエル
Geneviève	ジュヌヴィエーヴ
Georgette	ジョルジェット
Georgine	ジョルジーヌ
Géraldine	ジェラルディーヌ
Germaine	ジェルメーヌ
Gervaise	ジェルヴェーズ
Ghislaine	ジスレーヌ
Gilberte	ジルベルト
Ginette	ジネット
Gisèle	ジゼル
Grâce	グレース
Hanna	アンナ
Hannah	アンナ
Hélène	エレーヌ
Héloïse	エロイーズ
Henriette	アンリエット
Hermine	エルミーヌ
Honorine	オノリーヌ
Hortense	オルタンス
Huguette	ユゲット
Hyacinthe	イアサント
Inès	イネス
Irène	イレーヌ
Isabeau	イザボー
Isabel	イザベル
Isabelle	イザベル
Jacinthe	ジャサント
Jacqueline	ジャクリーヌ
Janine	ジャニーヌ
Jasmine	ジャスミーヌ
Jeanne	ジャンヌ
Jeannette	ジャネット
Jeannine	ジャニーヌ
Joanne	ジョアンヌ
Joceline	ジョスリーヌ
Jocelyne	ジョスリーヌ
Joëlle	ジョエル
Johanna	ジョアンナ、ジョアナ
Josée	ジョゼ
Josèphe	ジョゼフ
Joséphine	ジョゼフィーヌ
Josette	ジョゼット
Josiane	ジョジアーヌ
Josseline	ジョスリーヌ
Judith	ジュディット
Julie	ジュリー
Julienne	ジュリエンヌ
Juliette	ジュリエット
Justine	ジュスティーヌ、ジュスチーヌ
Laëtitia	レティシア
Laetitia	レティシア
Lara	ララ
Laura	ロラ
Laure	ロール
Laurence	ロランス
Léa	レア
Lélia	レリア
Lénaëlle	レナエル
Léonie	レオニー
Léonor	レオノル
Léonore	レオノール
Léontine	レオンティーヌ
Liane	リアーヌ
Liliane	リリアーヌ
Lise	リーズ
Lisette	リゼット
Louise	ルイーズ
Louison	ルイゾン
Lucie	リュシー
Lucienne	リュシエンヌ
Lucille	ルシール
Lucrèce	リュクレース
Ludivine	リュディヴィーヌ
Lydiane	リディアーヌ
Lydie	リディ
Madeleine	マドレーヌ
Madelon	マドロン
Magali	マガリ
Magalie	マガリー
Manon	マノン
Marceline	マルスリーヌ
Marcelle	マルセル
Marcelline	マルスリーヌ
Margot	マルゴ
Marguerite	マルゲリット
Marianne	マリアンヌ
Marie	マリー
Marie-Ange	マリー＝アンジュ
Marie-France	マリー＝フランス
Marie-Thérèse	マリー＝テレーズ
Marielle	マリエル
Mariette	マリエット
Marilou	マリルー
Marion	マリオン
Marjolaine	マルジョレーヌ
Marjorie	マルジョリー
Marlène	マルレーヌ
Marthe	マルト
Martine	マルティーヌ
Marylène	マリレーヌ
Maryse	マリーズ
Maryvonne	マリヴォンヌ
Mathilde	マチルド
Mélaine	メレーヌ
Mélanie	メラニー
Mélisande	メリザンド
Mélodie	メロディ
Michèle	ミシェル
Micheline	ミシュリーヌ
Michelle	ミシェル
Milène	ミレーヌ
Mirabelle	ミラベル
Mireille	ミレイユ
Monique	モニク
Morgane	モルガーヌ
Muriel	ミュリエル
Mylène	ミレーヌ
Myriam	ミリアン
Nadège	ナデージュ
Nadia	ナディア
Nadine	ナディーヌ
Natalie	ナタリー
Nathalie	ナタリー
Nelly	ネリー
Nicole	ニコル
Nicolette	ニコレット
Nina	ニナ
Ninette	ニネット
Ninon	ニノン
Noèle	ノエル
Noëlla	ノエラ
Noëlle	ノエル
Noémi	ノエミ
Noémie	ノエミ
Odette	オデット
Odile	オディル
Olga	オルガ
Olive	オリーヴ
Ophélie	オフェリー
Oriane	オリアーヌ
Orianne	オリアンヌ
Ottilie	オティリー
Paméla	パメラ
Pascale	パスカル
Paula	ポーラ
Paule	ポール
Paulette	ポレット
Pauline	ポリーヌ
Pélagie	ペラジー
Pénélope	ペネロープ
Perrine	ペリーヌ
Pétronille	ペトロニーユ
Phébé	フェベ
Philippine	フィリピーヌ
Pierrette	ピエレット
Quitterie	キトリー
Rachel	ラシェル
Raymonde	レイモンド
Rébecca	レベッカ
Régine	レジーヌ
Reine	レーヌ
Renée	ルネ
Romaine	ロメーヌ
Romane	ロマーヌ
Rosaire	ロゼール
Rosalie	ロザリー
Rose	ローズ
Roseline	ロズリーヌ
Rosemonde	ローズモンド
Rosine	ロジーヌ
Roxane	ロクサーヌ
Roxanne	ロクサンヌ
Sabina	サビーナ
Sabine	サビーヌ
Salomé	サロメ
Sandrine	サンドリーヌ
Sara	サラ
Sarah	サラ
Sébastienne	セバスチアンヌ
Ségolène	セゴレーヌ
Séverine	セヴリーヌ
Sibille	シビーユ
Sibylle	シビル
Sidonie	シドニー
Sigolène	シゴレーヌ
Simone	シモーヌ
Simonne	シモンヌ
Solange	ソランジュ
Solène	ソレーヌ
Solenne	ソレンヌ
Sophie	ソフィ
Stéphanie	ステファニー
Suzanne	シュザンヌ
Suzette	シュゼット
Sybille	シビル
Sylvaine	シルヴェーヌ
Sylvie	シルヴィ
Thaïs	タイス
Thérèse	テレーズ
Ursule	ユルシュル
Valentine	ヴァランティーヌ
Valérie	ヴァレリー
Vanessa	ヴァネッサ
Véronique	ヴェロニク
Victoire	ヴィクトワール
Victorine	ヴィクトリーヌ
Violaine	ヴィオレーヌ
Violette	ヴィオレット
Virginie	ヴィルジニー
Viviane	ヴィヴィアーヌ
Vivienne	ヴィヴィアンヌ
Yolande	ヨランド
Yvette	イヴェット
Yvonne	イヴォンヌ
Zélie	ゼリー
Zénaïde	ゼナイド
Zoé	ゾエ
