Ada	アーダ
Adalgisa	アダルジーザ
Addolorata	アッドロラータ
Adelaide	アデラーイデ
Adele	アデーレ
Adelina	アデリーナ
Adria	アドリア
Adriana	アドリアーナ
Agata	アガタ、アーガタ
Agnella	アニェッラ
Agnese	アニェーゼ
Agostina	アゴスティーナ
Aida	アイーダ
Alba	アールバ
Alberta	アルベルタ
Albertina	アルベルティーナ
Albina	アルビーナ
Alda	アルダ、アールダ
Alessandra	アレッサンドラ
Alessia	アレッシア
Alfonsina	アルフォンシーナ
Alfreda	アルフレーダ
Alice	アリーチェ
Alicia	アリーチャ
Alida	アリダ、アリーダ
Alina	アリーナ
Allegra	アッレーグラ
Alma	アルマ、アールマ
Altea	アルテーア
Amalia	アマーリア
Amanda	アマンダ
Amata	アマータ
Ambra	アンブラ
Amelia	アメリア、アメーリア
Amelita	アメリータ
Anastasia	アナスタージア
Anatolia	アナトリア、アナトーリア
Andreina	アンドレイーナ
Angela	アンジェラ
Angelica	アンジェリカ、アンジェーリカ
Angelina	アンジェリーナ
Angiola	アンジョラ
Angioletta	アンジョレッタ
Anita	アニータ
Anna	アンナ
Annabella	アンナベッラ
Annalisa	アンナリーザ
Annamaria	アンナマリア、アンナマリーア
Annetta	アンネッタ
Annunziata	アンヌンツィアータ
Antonella	アントネッラ
Antonia	アントーニア
Antonietta	アントニエッタ
Antonina	アントニーナ
Arabella	アラベッラ
Arianna	アリアンナ
Asia	アージア
Assunta	アッスンタ
Augusta	アウグスタ
Aurelia	アウレーリア
Aureliana	アウレリアーナ
Aurora	アウローラ
Ave	アーヴェ
Azzurra	アッズーラ
Bambina	バンビーナ
Barbara	バルバラ、バールバラ
Bartolomea	バルトロメア
Basilia	バジーリア
Beata	ベアータ
Beatrice	ベアトリーチェ
Bella	ベッラ
Benedetta	ベネデッタ
Beniamina	ベニアミーナ
Benvenuta	ベンヴェヌータ
Berenice	ベレニーチェ
Bernadetta	ベルナデッタ
Bernardetta	ベルナルデッタ
Berta	ベルタ
Bertina	ベルティーナ
Betta	ベッタ
