Adelheid	アーデルヘイト
Agnes	アフネス
Albertina	アルベルティナ
Aldegonda	アルデホンダ
Aleid	アレイト
Aleida	アレイダ
Aletta	アレッタ
Alex	アレックス
Alexandra	アレクサンドラ
Alida	アリーダ
Amalia	アマリア
Amanda	アマンダ
Amber	アンベル
Amelia	アメリア
Andrea	アンドレーア
Angela	アンシェラ
Angelien	アンシェリーン
Angelina	アンシェリーナ
Angelique	アンシェリーク
Anika	アニカ
Anita	アニタ
Anke	アンケ
Anna	アンナ
Annabel	アナベル
Anne	アンネ
Anneke	アンネケ
Annelien	アンネリーン
Annelies	アンネリース
Anneliese	アンネリーセ
Annemarie	アンネマリー
Annika	アニカ
Anouk	アヌック
Ans	アンス
Antje	アンチェ
Antonia	アントーニア
Ariane	アリアネ
Augusta	アウフスタ
Beatrix	ベアトリクス
Bente	ベンテ
Betje	ベチェ
Bo	ボー
Brechtje	ブレヒチェ
Brigitta	ブリヒッタ
Carla	カルラ
Carola	カローラ
Carolien	カロリーン
Caroline	カロリーネ
Catharina	カタリーナ
Cato	カトー、カートー
Cécile	セシル
Cecilia	セシリア
Chantal	シャンタル
Charlotte	シャルロッテ
Christina	クリスティナ
Christine	クリスティネ
Cilla	シーラ
Claudia	クラウディア
Coba	コーバ
Cokkie	コッキー
Cornelia	コルネリア、コルネーリア
Corrie	コリー
Daphne	ダフネ
Debora	デボラ
Denise	デニセ
Diana	ディアナ
Diantha	ディアンタ
Dora	ドーラ
Dorothea	ドロテア
Drika	ドリカ
Edith	エーディット
Eleonora	エレオノーラ
Elian	エリアン
Elisabeth	エリーサベト
Elise	エリーセ
Elke	エルケ
Elleke	エレケ
Ellen	エレン
Elly	エリ
Elma	エルマ
Els	エルス
Else	エルセ
Elsje	エルシェ
Emma	エマ、エンマ
Emmy	エミー
Esmé	エスメ
Esmée	エスメー、エスメイ
Esther	エステル
Eva	エヴァ、エファ
Evelien	エフェリーン
Eveline	エフェリーネ
Febe	フェベ
Felicia	フェリシア
Feline	フェリーネ
Femke	フェンケ
Fenna	フェナ
Filomena	フィロメナ
Floor	フロール、フロウル
Floortje	フローチェ、フロウチェ
Florina	フロリーナ
Franka	フランカ
Frédérique	フレデリック
Gabriëlle	ハブリエレ
Geertje	ヘールチェ、ヘイルチェ
Geertruida	ヘルトラウダ
Gemma	ヘマ、ヘンマ
Georgina	ショルシーナ
Gerarda	ヘラルダ
Gerda	ヘルダ
Gerdina	ヘルディナ
Gerry	ヘリー
Gertie	ヘルティー
Gertrude	ヘルトルーデ
Gertruida	ヘルトラウダ
Gilberta	ヒルベルタ
Gisela	ヒセラ
Godelieve	ホーデリーフェ
Greet	フレート、フレイト
Greetje	フレーチェ、フレイチェ
Griet	フリート
Gusta	フスタ
Hadewych	ハーデヴィヒ
Hanna	ハンナ
Hannah	ハンナ
Hanne	ハンネ
Hannie	ハンニー
Hedy	ヘディ
Heike	ヘイケ
Heintje	ヘインチェ
Hendrika	ヘンドリカ
Hendrikje	ヘンドリケ
Hendrina	ヘンドリーナ
Hennie	ヘニー
Henny	ヘニー
Henrietta	ヘンリエタ
Henriëtte	ヘンリエッテ
Hilda	ヒルダ
Hilde	ヒルデ
Ida	イダ
Ilse	イルセ
Ima	イマ
Ina	イナ
Inge	インゲ
Irena	イレーナ
Iris	イーリス
Isa	イサ
Isabella	イザベラ
Isabelle	イサベレ
Jacoba	ヤコーバ
Jacobina	ヤコビーナ
Jacobine	ヤコビーネ
Jacomina	ヤコミナ
Jana	ヤーナ
Janna	ヤンナ
Janneke	ヤンネケ
Jantine	ヤンティーネ
Jantje	ヤンチェ
Jasmijn	ヤスメイン
Jeltje	イェルチェ
Jeltsje	イェルチェ
Jennifer	イェニフェル
Jennigje	イェニフェ
Jet	イェット
Jetta	イェッタ
Jette	イェッテ
Jo	ヨー
Johanna	ヨハンナ、ヨハナ
Johanneke	ヨハンネケ
Jolanda	ヨランダ
Jolande	ヨランデ
Josephine	ヨゼフィーネ、ヨセフィーネ
Jozefien	ヨゼフィン
Julia	ユリア
Juliana	ユリアナ、ユリアーナ
Julie	ユリー
Justine	ユスティネ
Karin	カリン、カーリン
Katelijn	カテレイン
Katelijne	カテレイネ
Katinka	カティンカ
Katja	カチャ
Katrien	カトリーン
Katrijn	カトレイン
Katrina	カトリナ、カトリーナ
Klasina	クラシーナ
Klazina	クラジーナ
Kristel	クリステル
Kunigonde	クニホンデ
Lara	ララ
Laura	ラウラ
Laurie	ラウリー
Lea	レア
Leonie	レオニー
Lieke	リーケ
Lien	リーン
Lies	リース
Liesbeth	リースベト
Liese	リーセ
Liesje	リシェ
Lieve	リーフェ
Lijsbeth	レイスベト
Linda	リンダ
Lisa	リサ
Lisanne	リーサンネ
Liselot	リーセロット
Loes	ルース
Lotte	ロッテ
Louisa	ルイサ
Louise	ルイーセ、ラウイセ
Luus	リュース、ルース
Lysanne	リーサンネ
Maaike	マイケ
Maartje	マルチェ
Machteld	マハテルト
Madelief	マデリフ
Madelon	マデロン
Magda	マフダ
Magdalena	マフダレーナ
Manon	マノン
Margareta	マルハレータ
Margaretha	マルハレータ
Margreet	マルヘレート
Margriet	マルヘリート
Maria	マリア
Marianne	マリアンネ
Marieke	マリーケ
Mariëtte	マリエッテ
Marijke	マレイケ
Marijn	マレイン
Marijse	マレイセ
Marike	マリケ
Marilou	マリルー
Marina	マリーナ
Mariska	マリスカ
Marita	マリータ
Marja	マルヤ
Marjan	マリヤン
Marjo	マルヨ
Marjolein	マルヨレイン
Marjolijn	マルヨレイン
Marleen	マルレーン、マルレイン
Marlies	マルリース
Marloes	マルルース
Martina	マルティーナ
Martine	マルティーネ
Mathilde	マティルデ
Maud	マウト
Mechteld	メヒテルト
Meike	メイケ
Meintje	メインチェ
Melanie	メラニー
Melissa	メリッサ
Mia	ミア
Michelle	ミシェレ
Mieke	ミーケ
Mien	ミーン
Miep	ミープ
Mies	ミース
Mina	ミナ
Minke	ミンケ
Miranda	ミランダ
Mirjam	ミリヤム、ミルヤム
Mirthe	ミルテ
Monique	モニク
Myrthe	ミルテ
Nes	ネス
Neske	ネスケ
Nicole	ニコール
Nicolet	ニコレット
Nicoline	ニコリーネ
Noor	ノール
Noortje	ノールチェ、ノウルチェ
Nora	ノーラ
Paula	パウラ
Paulien	パウリーン
Petra	ペトラ
Petronella	ペトロネラ
Pietronella	ピートロネラ、ピートロネッラ
Prisca	プリスカ
Puck	プック
Rachel	ラッヒェル
Rebekka	レベッカ
Renate	レナーテ
Renée	レネー、レネイ
Ria	リア
Rika	リカ
Rina	リナ
Rini	リニ
Riny	リニ
Robin	ロビン
Roos	ロース、ロウス
Roosje	ローシェ、ロウシェ
Rosa	ローサ
Rosanne	ロザンネ、ローザンネ
Ruth	ルート
Sabien	サビーン
Samantha	サマンタ
Sandra	サンドラ
Sanne	サンネ
Sara	サラ
Saskia	サスキア
Silke	シルケ
Sofie	ソフィー
Sophie	ソフィー
Stefana	ステファナ
Stefanie	ステファニー
Sterre	ステレ
Stien	スティーン
Susanna	スサンナ
Suzanne	スザンネ
Sylvia	シルフィア
Tamara	タマーラ
Tatiana	タチアナ
Tess	テッス
Teuna	トゥーナ
Thecla	テクラ
Thera	テラ
Theresia	テレシア
Thirza	ティルザ
Thyrza	ティルザ
Til	ティル
Tina	ティナ
Tineke	ティネケ
Trees	トレース、トレイス
Trijntje	トレインチェ
Trudie	トルディ
Trudy	トルディ
Truus	トリュス
Ursula	ウルジュラ
Vanessa	ファネッサ
Veer	フェール、フェイル
Veerke	フェールケ、フェイルケ
Vera	フェラ
Wil	ヴィル
Wilhelmina	ヴィルヘルミナ
Willemijn	ヴィレメイン
Willemina	ヴィレミーナ
Wilma	ヴィルマ
Xandra	クサンドラ
Yvonne	イフォンネ
Zoë	ゾーイ
