Avdotya	アヴドーチヤ
Agafya	アガーフィヤ
Agrippina	アグリッピーナ
Adelina	アデリーナ
Adriana	アドリアーナ
Aksana	アクサナ
Akulina	アクリーナ
Alevtina	アレフチナ、アレフチーナ
Aleksandra	アレクサンドラ
Alyona	アリョーナ
Alina	アリーナ
Alisa	アリーサ
Alla	アーラ
Altynay	アルテナイ
Albina	アリビーナ
Anastasiya	アナスタシヤ、アナスタシーヤ
Angelina	アンゲリーナ
Anzhela	アンジェラ
Anzhelika	アンジェリーカ
Anna	アンナ
Antonina	アントニーナ
Anfisa	アンフィーサ
Apollinariya	アポリナーリヤ
Arina	アリーナ、アリナ
Bogdana	ボグダーナ
Valentina	ヴァレンチナ
Valeriya	ヴァレーリヤ
Varvara	ヴァルヴァラ
Vasilisa	ヴァシリーサ
Vera	ヴェーラ、ヴェラ
Veronika	ヴェロニーカ
Viktoriya	ヴィクトーリヤ
Galina	ガリーナ
Glafira	グラフィーラ
Darya	ダーリヤ
Diana	ジアーナ
Dina	ジーナ
Dominika	ドミニーカ
Yeva	イエヴァ
Yevgeniya	エヴゲーニヤ
Yevdokiya	エヴドキヤ、エヴドキーヤ
Yevpraksiya	エヴプラクシヤ
Yevfrosiniya	エフフロシーニヤ
Yekaterina	エカチェリーナ（エカテリーナ）
Yelena	エレーナ、イェレナ
Yelizaveta	エリザヴェータ
Zhanna	ジャンナ
Zinaida	ジナイーダ
Zlata	ズラータ
Zoya	ゾーヤ
Ivanna	イヴァンナ
Izolda	イゾールダ
Inga	インガ
Inessa	イネッサ
Inna	インナ
Iraida	イライーダ
Irina	イリーナ
Iya	イーヤ
Kapitolina	カピトリナ
Karina	カリーナ
Katerina	カチェリーナ
Kira	キーラ
Klavdiya	クラーヴジヤ
Klara	クラーラ
Klementina	クレメンチーナ
Kristina	クリスチーナ
Kseniya	クセーニヤ
Larisa	ラリサ
Leyla	レイラ
Leonida	レオニーダ
Lidiya	リージヤ
Liliya	リーリヤ
Lyubov	リュボフ
Lyudmila	リュドミーラ
Maya	マイヤ
Margarita	マルガリータ
Marina	マリーナ
Mariya	マリーヤ
Marta	マルタ
Marfa	マルファ
Marya	マリヤ
Matryona	マトリョーナ
Matrona	マトローナ
Milana	ミラナ
Miroslava	ミロスラーヴァ
Nadezhda	ナジェズダ、ナジェーズダ
Naina	ナイナ、ナイーナ
Nataliya	ナターリヤ
Natalya	ナターリヤ
Nika	ニーカ
Nina	ニーナ
Nonna	ノンナ
Oksana	オクサーナ、アクサーナ
Oktyabrina	オクチャブリーナ
Olesya	オレーシャ、アレーシャ
Olga	オリガ、オーリガ
Pelageya	ペラゲーヤ
Polina	ポリーナ
Praskovya	プラスコーヴィヤ
Pulkheriya	プリヘーリヤ
Raisa	ライサ、ライーサ
Regina	レギーナ
Renata	レナータ
Rimma	リンマ
Rufina	ルフィナ
Svetlana	スヴェトラーナ
Serafima	セラフィマ
Snezhana	スネジャーナ
Sofiya	ソフィヤ、ソフィーヤ
Sofya	ソフィヤ、ソーフィヤ
Susanna	スサンナ
Taisiya	タイーシヤ
Tamara	タマーラ
Tatyana	タチヤーナ
Ulyana	ウリヤーナ
Faina	ファイーナ
Fevroniya	フェヴローニヤ
Fyokla	フョークラ
Feodora	フェオドラ
Tsetsiliya	ツェツィーリヤ
Eleonora	エレオノーラ
Elvira	エリヴィラ、エルヴィラ
Emiliya	エミーリヤ
Yuliya	ユーリヤ
Yana	ヤーナ、ヤナ
Yanina	ヤニーナ
Yaroslava	ヤロスラーヴァ
