Ada	アーダ
Adela	アデラ
Agata	アガータ
Agne	アンネ
Agnes	アグネス
Agneta	アグネータ
Agnetha	アグネータ
Aina	アイナ
Aino	アイノ
Albertina	アルベルティーナ
Alexandra	アレクサンドラ
Alexis	アレクシス
Alfhild	アルフヒルド
Alfrida	アルフリーダ
Alice	アリス
Alicia	アリシア
Alva	アルヴァ
Amanda	アマンダ
Andrea	アンドレア
Anette	アネッテ
Angelica	アンニェリカ、アンジェリカ
Angelika	アンニェリカ、アンジェリカ
Anita	アニタ
Anitra	アニトラ
Anja	アンヤ
Ann	アン
Ann-Britt	アン＝ブリット
Ann-Charlotte	アン＝カルロッテ
Ann-Christin	アン＝クリスティン
Ann-Marie	アン＝マリー
Ann-Sofie	アン＝ソフィ
Anna	アンナ
Anna-Karin	アンナ＝カーリン
Anna-Maja	アンナ＝マーヤ
Annalina	アンナリーナ
Anne	アンネ
Anneli	アンネリ
Annelie	アンネリエ
Annette	アンネッテ、アネッテ
Annika	アンニカ
Antonia	アントーニア
Åsa	オーサ
Åse	オーセ
Asta	アスタ
Astrid	アストリッド
Augusta	アウグスタ、アウギュスタ
Aurora	アウロラ
Axelina	アクセリナ
Barbara	バーバラ
Barbro	バルブロ
Beata	ベアタ
Beatrice	ベアトリス
Beda	ベーダ
Bengta	ベンタ
Berit	ベリト
Berta	ベルタ
Bette	ベッテ
Birgit	ビルギット
Birgitta	ビルギッタ
Blenda	ブレンダ
Bodil	ボディル
Boel	ボエル
Borghild	ボルグヒルド
Botilda	ボティルダ
Brigitta	ブリギッタ
Brita	ブリタ
Britt	ブリット
Britt-Marie	ブリット＝マリー
Britta	ブリッタ
Cajsa	カイサ
Camilla	カミラ
Carin	カーリン
Carina	カリーナ、キャリーナ
Carine	カリーネ
Carita	カリータ
Carola	カロラ
Carolina	キャロリーナ
Caroline	カロリーネ
Catharina	カタリーナ
Cecilia	セシーリア
Charlotta	カルロッタ
Charlotte	カルロッテ
Christel	クリステル
Christin	クリスティーン
Christina	クリスティーナ
Christine	クリスティーネ
Cilla	シーラ
Cristina	クリスティーナ
Daga	ダーガ、ドーガ
Dagmar	ダグマー、ダグマル
Dagny	ダグニー、ダグニュ
Daniela	ダニエラ
Denise	デニース
Desirée	デシレア
Diana	ディオーナ
Disa	ディーサ
Doris	ドリス
Dorotea	ドロテーア
Ebba	エッバ
Edit	エディト、エディット
Edith	エディト、エディット
Edla	エドラ
Eira	エイラ
Eleonor	エレオノール
Eleonora	エレオノーラ
Elin	イェリン
Elisabet	エリサベト
Elisabeth	エリーサベト
Ella	エッラ
Ellen	エレン
Elsa	エルサ
Elvira	エルヴィーラ
Emelie	エメリ
Emilia	エミリア
Emilie	エミリ
Emma	エンマ
Erica	エリーカ
Erika	エリーカ
Ester	エステル
Eva	エーヴァ
Evelina	エヴェリーナ
Fanny	ファンヌ
Felicia	フェリシア
Filippa	フィリッパ
Fredrika	フレドリカ
Freja	フレヤ
Frida	フリーダ
Gabriella	ガブリエッラ
Gerd	イェルド
Gerda	イェルダ
Göta	ヨータ
Greta	グレータ、グレタ
Gudrun	ギュードゥルン
Gun	グン
Gun-Britt	グン＝ブリット
Gunborg	グンボリ
Gunda	グンダ
Gunhild	グンヒルド
Gunilla	グニラ
Gunnel	グンネル
Gunnie	グニー
Gunvor	グンヴォル
Hanna	ハンナ
Hannah	ハンナ
Hedda	ヘッダ
Hedvig	ヘッドヴィッギ
Helen	ヘレン
Helena	ヘレーナ
Helene	ヘリアン
Henrika	ヘンリカ
Henrike	ヘンリケ
Hilda	ヒルダ
Hildegard	ヒルデガルド
Hjördis	ヨルディス
Ida	イーダ
Inga	インガ
Ingeborg	インニェボリ
Ingegärd	インニェヤルド
Ingegerd	インニェイェルド
Ingela	インゲラ、インニェラ
Inger	インニェル
Ingrid	イングリッド
Irene	イレイェン
Iris	イーリス
Isabelle	イサベレ
Jenny	ヤンヌ
Jessica	イェシカ
Jessika	イェシカ
Johanna	ヨハンナ
Jonna	ヨンナ
Josefin	ヨセフィン
Josefina	ヨセフィーナ
Julia	ユーリア、ユリア
Kajsa	カイサ
Kamilla	カミラ
Karin	カーリン
Karina	カリーナ
Karita	カリータ
Karla	コーラ
Karolina	カロリーナ
Katarina	カタリーナ
Katharina	カタリーナ
Katrina	カトリーナ
Kerstin	シェシュティン
Kjerstin	シェスティン
Klara	クラーラ
Krista	クリスタ
Kristin	クリスティーン
Kristina	クリスティナ、クリスティーナ
Kristine	クリスティーネ
Laura	ラウラ
Lea	レーア
Lena	レーナ
Lina	リナ
Linda	リンダ
Linnéa	リネーア
Lisa	リーサ
Lisbet	リースベット
Lisbeth	リスベツ
Lorri	ロリ
Louise	ルイース
Lovisa	ロヴィーサ
Madeleine	マデレイネ、マデリエネ
Maj	マーユ
Maj-Britt	マイ＝ブリット
Maja	マーヤ
Malena	マレーナ
Malin	マーリン
Margareta	マルガレータ
Margaretha	マルガレータ
Margit	マルギット
Margret	マルグレット
Maria	マリア
Marianne	マリアン
Marie	マリー
Marie-Louise	マリー＝ルイス
Marina	マリーナ
Märta	マルタ
Martha	マルタ
Martina	マルティナ
Mathilda	マティルダ
Matilda	マティルダ
Mia	ミア
Michaela	ミカエラ
Mikaela	ミカエラ
Mirjam	ミリヤム
Moa	モア
Mona	モーナ
Monica	モニカ
Monika	モニカ
Nanny	ナンヌ
Nathalie	ナタリー
Nora	ノーラ
Olga	オルガ
Olivia	オリーヴィア
Paula	パウラ
Paulina	パウリーナ、ポーリーナ
Pauline	パウリーネ、ポーリーネ
Pernilla	パニーラ
Petronella	ペトロネラ、ペトロネッラ
Pia	ピーア
Ragnhild	ランヒルド
Rakel	ラケル
Rebecca	レベッカ
Rebecka	レベッカ
Rita	リータ
Ronja	ロニヤ
Rose-Marie	ロース＝マリー
Rut	ルーツ
Ruth	ルート
Saga	サーガ
Sandra	サンドラ
Sanna	サンナ
Sara	サーラ
Selma	セルマ
Sibylla	シビッラ
Sigrid	シーグリッド
Siri	シーリ
Siv	シーヴ
Siw	シーヴ
Sofia	ソフィーア
Sofie	ソフィ
Solveig	ソルヴェイ
Sonja	ソーニャ
Sophia	ソフィア
Stina	スティナ
Susanna	スサンナ
Susanne	スサン
Svea	スヴェア
Sylvia	シルヴィア
Tekla	テクラ
Teodora	テオドーラ
Teresa	テレーサ
Teresia	テレーシア
Theresa	テレーサ
Therese	テルエス
Tilda	ティルダ
Tova	トーヴァ
Tove	トーヴェ
Ulla	ウッラ
Ulla-Britt	ウッラ＝ブリット
Ullica	ウリカ
Ulrica	ウルリーカ
Ulrika	ウルリーカ
Ursula	ウルスラ
Vera	ヴェーラ、ヴェラ
Veronika	ヴェロニカ
Victoria	ヴィクトリア
Viktoria	ヴィクトリア
Vilhelmina	ヴィルヘルミーナ
Viola	ヴィオラ
Virginia	ヴィルギーニア
Vivi	ヴィヴィ
Ylva	イルヴァ
Yvonne	イヴォンネ
