Adalbert	アダルベルト
Adam	アダム
Adolf	アドルフ
Alan	アラン
Albert	アルベルト
Albín	アルビーン
Aleš	アレシュ
Alexandr	アレクサンドル
Alexej	アレクセイ
Alfréd	アルフレート
Alois	アロイス
Ambrož	アンブロシュ
Ámos	アーモス
Andělín	アンジェリーン
Andrej	アンドレイ
Antonín	アントニーン
Arnošt	アルノシュト
Artur	アルトゥル
Barnabáš	バルナバーシュ
Bartoloměj	バルトロメイ
Bedřich	ベドジフ
Benedikt	ベネディクト
Benjamín	ベンヤミーン
Bernard	ベルナルト
Blahoslav	ブラホスラフ
Blažej	ブラジェイ
Bohumil	ボフミル
Bohumír	ボフミール
Bohuslav	ボフスラフ
Boleslav	ボレスラフ
Bořek	ボジェク
Boris	ボリス
Bořivoj	ボジヴォイ
Božetěch	ボジェチェフ
Břetislav	ブシェチスラフ
Bronislav	ブロニスラフ
Čeněk	チェニェク
Česlav	チェスラフ
Čestmír	チェストミール
Ctirad	ツチラト
Cyril	ツィリル
Dalibor	ダリボル
Dalimil	ダリミル
Damián	ダミアーン
Daniel	ダニエル
Dávid	ダーヴィト
David	ダヴィト、ダヴィット
Denis	デニス
Dominik	ドミニク
Drahomír	ドラホミール
Drahoslav	ドラホスラフ
Dušan	ドゥシャン
Edmund	エドムント
Eduard	エドゥアルト
Eliáš	エリアーシュ
Elias	エリアス
Emanuel	エマヌエル
Emil	エミル
Erik	エリク
Ervín	エルヴィーン
Evžen	エヴシェン
Ferdinand	フェルディナント
Filip	フィリプ
František	フランチシェク
Gabriel	ガブリエル
Gustav	グスタフ
Havel	ハヴェル
Herbert	ヘルベルト
Honza	ホンザ
Hubert	フベルト
Hugo	フゴ
Hynek	ヒネク
Ignác	イグナーツ
Igor	イゴル
Ivan	イヴァン
Ivo	イヴォ
Izák	イザーク
Jáchym	ヤーヒム
Jakub	ヤクプ
Jan	ヤン
Jan Nepomuk	ヤン・ネポムク
Jarmil	ヤルミル
Jaromír	ヤロミール
Jaroslav	ヤロスラフ
Jeremiáš	イエレミアーシュ
Jeroným	イェロニーム
Jindřich	インジフ、インジヒ
Jiří	イジー、イルジー
Jonáš	ヨナーシュ
Jonatán	ヨナターン
Josef	ヨゼフ
Julián	ユリアーン
Július	ユーリウス
Julius	ユリウス
Kajetán	カイェターン、カエターン
Kamil	カミル
Karel	カレル
Kašpar	カシュパル
Klement	クレメント
Konrád	コンラート
Kristián	クリスチアーン
Kryštof	クリシュトフ
Květoslav	クヴェトスラフ
Ladislav	ラジスラフ、ラディスラフ
Leo	レオ
Leopold	レオポルト
Leoš	レオシュ
Libor	リボル
Lubomír	ルボミール
Lubor	ルボル
Luboš	ルボシュ
Luděk	ルジェク
Ludvík	ルドヴィーク
Lukáš	ルカーシュ
Lumír	ルミール
Marcel	マルツェル
Marek	マレク
Marián	マリアーン
Maroš	マロシュ
Martin	マルチン
Matěj	マチェイ
Matouš	マトウシュ
Matúš	マトゥーシュ
Matyáš	マティアーシュ
Maxim	マクシム
Maxmilián	マクスミリアーン
Metoděj	メトジェイ
Michal	ミハル
Mikoláš	ミコラーシュ
Mikuláš	ミクラーシュ
Milán	ミラーン
Milan	ミラン
Miloš	ミロシュ
Miloslav	ミロスラフ
Milouš	ミロウシュ
Miroslav	ミロスラフ
Mojmír	モイミール
Norbert	ノルベルト
Oldřich	オルジフ、オルドジフ
Oleg	オレク
Oleksandr	オレクサンドル
Oliver	オリヴェル
Ondřej	オンドジェイ
Oskar	オスカル
Otakar	オタカル
Otmar	オトマル
Oto	オト
Otto	オット
Patrik	パトリク
Pavel	パヴェル
Petr	ペトル、ペットル
Přemysl	プシェミスル、プリェミスル
Radek	ラデク
Radim	ラディム
Radomír	ラドミール
Radoslav	ラドスラフ
Radovan	ラドヴァン
Rafael	ラファエル
Řehoř	ジェホシュ
René	レネー
Richard	リヒャルト
Róbert	ローベルト
Robert	ロベルト
Roman	ロマン
Rostislav	ロスチスラフ
Rudolf	ルドルフ
Samuel	サムエル
Saša	サシャ
Sebastián	セバスチアーン
Šebestián	シェベスチアーン
Silvestr	シルヴェストル
Šimon	シモン
Slavomír	スラヴォミール
Soběslav	ソビェスラフ
Stanislav	スタニスラフ
Štefan	シュテファン
Štěpán	シュチェパーン
Svatopluk	スヴァトプルク
Svatoslav	スヴァトスラフ
Tadeáš	タデアーシュ
Teodor	テオドル
Theodor	テオドル
Tobiáš	トビアーシュ
Tomáš	トマーシュ
Václav	ヴァーツラフ
Valdemar	ヴァルデマル
Valentin	ヴァレンティン
Valentýn	ヴァレンティーン
Valtr	ヴァルトル
Vasyl	ヴァスィル
Vavřinec	ヴァヴジネツ
Věnceslav	ヴェンツェスラフ
Vendelín	ヴェンデリーン
Věroslav	ヴェロスラフ
Viktor	ヴィクトル
Vilém	ヴィレーム
Vincenc	ヴィンツェンツ
Vít	ヴィート
Vítek	ヴィーテク
Vítězslav	ヴィーチェスラフ
Vladimír	ヴラディミール
Vladislav	ヴラジスラフ、ヴラディスラフ
Vlastimil	ヴラスチミル
Vlastislav	ヴラスチスラフ
Vojtěch	ヴォイチェフ
Vratislav	ヴラチスラフ
Xaver	クサヴェル
Zachariáš	ザハリアーシュ
Zbyněk	ズビニェク
Zbyšek	ズビシェク
Zděnek	ズジェネク
Zdeněk	ズデニェク
Zoltán	ゾルターン
