Abel	アーベル
Abraham	アーブラハム
Achim	アヒム
Adalbert	アーダルベルト
Adalbrecht	アダルブレヒト
Adam	アーダム、アダム
Adelbert	アーデルベルト
Adolf	アードルフ
Adrian	アードリアン
Alban	アルバン
Albert	アルベルト
Albrecht	アルブレヒト
Alexander	アレクサンダー
Alexis	アレクシス
Alfons	アルフォンス
Alfred	アルフレート
Alois	アロイス、アーロイス
Aloisius	アロイジウス
Aloys	アロイス
Aloysius	アロイジウス
Anastasius	アナスタージウス
Andreas	アンドレアス
Anselm	アンゼルム
Ansgar	アンスガー
Anton	アントン、アントーン
Armin	アルミン
Arno	アルノー
Arnold	アルノルト
Arnolt	アルノルト
Arnulf	アルヌルフ
Arthur	アルトゥル、アルトゥール
Artur	アルトゥル、アルトゥール
August	アウグスト
Augustin	アウグスティーン
Aurel	アウレール
Balduin	バルドゥイーン
Baldur	バルドゥル
Balthasar	バルタザール
Baptist	バプティスト
Barnabas	バルナバス
Barthold	バルトルト
Bartholomäus	バルトロメウス
Benedikt	ベネディクト、ベーネディクト
Benjamin	ベンヤミン
Benno	ベンノ
Bernd	ベルント
Bernhard	ベルンハルト
Bernold	ベルノルト
Berthold	ベルトホルト、ベルトルト
Bonifatius	ボニファティウス
Bonifaz	ボニファーツ
Bruno	ブルーノ
Burghard	ブルクハルト
Burkhard	ブルクハルト
Carl	カール
Cäsar	ツェーザル
Caspar	カスパル、カスパー
Christhard	クリストハルト
Christian	クリスティアン
Christof	クリストフ
Christoph	クリストフ
Claus	クラウス
Clemens	クレーメンス
Conrad	コンラート
Cornelius	コルネリウス
Curt	クルト
Damian	ダミアン
Daniel	ダニエル
David	ダーヴィト、ダーフィト
Denis	デニス
Dennis	デニス
Diederich	ディーデリヒ
Dieter	ディーター
Dietfried	ディートフリート
Diethard	ディートハルト
Diethelm	ディートヘルム
Dietmar	ディートマー、ディートマル
Dietrich	ディートリヒ
Dirk	ディルク
Dominik	ドミニク
Ebbo	エッボ
Eberhard	エーベルハルト
Eckard	エッカルト
Eckardt	エッカルト
Eckart	エッカルト
Eckhard	エックハルト
Edeltraud	エーデルトラウト
Edgar	エトガル、エトガー
Edmund	エトムント
Eduard	エードゥアルト、エドゥアルト
Edwin	エトヴィン
Egmont	エグモント
Egmund	エクムント
Egon	エーゴン、エゴン
Ehrenfried	エーレンフリート
Ekkehard	エッケハルト
Elias	エリーアス
Elmar	エルマー
Emanuel	エマーヌエル、エマヌエル
Emil	エーミール
Emmerich	エメリヒ
Engelbert	エンゲルベルト
Engelbrecht	エンゲルブレヒト
