Aaron	アーロン
Abel	エイベル
Abraham	エイブラハム
Abram	エイブラム
Adam	アダム
Adolph	アドルフ
Adrian	エイドリアン
Alan	アラン
Alastair	アラスター（アラステア）
Albert	アルバート
Alex	アレックス
Alexander	アレグザンダー（アレクサンダー）
Alexis	アレクシス
Alf	アルフ
Alfie	アルフィー
Alfred	アルフレッド
Algernon	アルジャノン、アルジャーノン
Alistair	アリスター
Alister	アリスター
Allan	アラン
Allen	アレン
Allyn	アーリン
Alvin	アルヴィン
Ambrose	アンブローズ
Andrew	アンドルー（アンドリュー）
Andy	アンディ
Angus	アンガス
Anthony	アントニー、アンソニー
Anton	アントン
Antony	アントニー
Archibald	アーチボルド
Ariel	アリエル、エリアル
Arnold	アーノルド
Arthur	アーサー
Ashley	アシュリー
Ashton	アシュトン
Aubrey	オーブリー
August	オーガスト
Augustus	オーガスタス
Aylmer	エイルマー、エルマー
Baldwin	ボールドウィン
Barnaby	バーナビー
Barney	バーニー
Barry	バリー
Bartholomew	バーソロミュー
Basil	バージル、ベイジル
Ben	ベン
Benedict	ベネディクト
Benjamin	ベンジャミン
Bernard	バーナード
Bert	バート
Bertrand	バートランド
Bill	ビル
Billy	ビリー
Bob	ボブ
Bobby	ボビー
Brad	ブラッド
Bradford	ブラッドフォード
Bradley	ブラッドリー
Brandon	ブランドン
Brendan	ブレンダン
Brendon	ブレンドン
Brent	ブレント
Brett	ブレット
Brian	ブライアン
Bruce	ブルース
Bruno	ブルーノ
Bryan	ブライアン
Byron	バイロン
Calvin	カルヴィン、キャルヴィン
Cameron	キャメロン、カメロン
Carey	ケアリー、キャリー
Carl	カール
Carol	キャロル
Casey	ケイシー
Cecil	セシル
Cedric	セドリック
Chad	チャド
Charles	チャールズ
Charlie	チャーリー
Chester	チェスター
Chris	クリス
Christian	クリスティアン
Christopher	クリストファー
Clarence	クラレンス
Clark	クラーク
Cliff	クリフ
Clifford	クリフォード
Clifton	クリフトン
Clive	クライヴ
Clyde	クライド
Cody	コーディ
Colin	コリン
Conrad	コンラッド
Constant	コンスタント
Cornelius	コーニーリアス
Cory	コリー
Craig	クレイグ
Curtis	カーティス
Cyril	シリル
Cyrus	サイラス
Dale	デール
Damian	デイミアン
Damon	デイモン、デーモン
Dan	ダン
Daniel	ダニエル
Danny	ダニー
Darius	ダライアス
Darrell	ダレル
Darren	ダーレン、ダレン
Darryl	ダリル
Daryl	ダリル
Dave	デイヴ
David	デイヴィッド、デーヴィッド
Dean	ディーン
Denis	デニス
Dennis	デニス
Derek	デレク
Derick	デリック
Derrick	デリック
Deryck	デリック
Desmond	デズモンド
Dexter	デクスター
Dick	ディック
Dolph	ドルフ
Dom	ドム
Dominic	ドミニク
Don	ドン
Donald	ドナルド
Douglas	ダグラス
Drew	ドルー
Dudley	ダドリー
Duke	デューク
Duncan	ダンカン
Dustin	ダスティン
Dwayne	ドウェイン
Eamon	イーモン
Earl	アール
Eddie	エディー
Eddy	エディ
Eden	イーデン
Edgar	エドガー
Edmund	エドマンド
Edward	エドワード
Edwin	エドウィン
Egbert	エグバート
Eldred	エルドレッド
Elias	イライアス
