Aarón	アーロン
Abel	アベル
Abelardo	アベラルド
Abrahán	アブラアン
Abrán	アブラーン
Adalberto	アダルベルト
Adán	アダン
Adolfito	アドルフィト
Adolfo	アドルフォ
Adrián	アドリアン
Agapito	アガピト
Agustín	アグスティン
Alarico	アラリコ
Alberto	アルベルト
Alejandro	アレハンドロ
Alejo	アレホ
Alfonso	アルフォンソ
Alfredo	アルフレド
Alirio	アリリオ
Alonso	アロンソ
Álvaro	アルバロ
Amado	アマド
Amador	アマドル
Amancio	アマンシオ
Amando	アマンド
Amaranto	アマラント
Ambrosio	アンブロシオ
Amilcar	アミルカル
Anacleto	アナクレト
Andrés	アンドレス
Ángel	アンヘル
Ángelo	アンヘロ
Anibal	アニバル
Aniceto	アニセト
Anselmo	アンセルモ
Antonio	アントニオ
Apolinar	アポリナル
Aquiles	アキレス
Ariel	アリエル
Armando	アルマンド
Arnaldo	アルナルド
Arsenio	アルセニオ
Arturo	アルトゥロ
Asdrubal	アスドルバル
Atilio	アティリオ
Augusto	アウグスト
Aureliano	アウレリアノ
Aurelio	アウレリオ
Baldomero	バルドメロ
Balduino	バルドゥイノ
Baltasar	バルタサール、バルタサル
Bartolomé	バルトロメ
Basilio	バシリオ
Bautista	バウティスタ
Bayardo	バジャルド
Beltrán	ベルトラン
Benedicto	ベネディクト
Benigno	ベニグノ
Benito	ベニート
Benjamín	ベンハミン
Bernabé	ベルナベ
Bernardino	ベルナルディノ
Bernardo	ベルナルド
Blas	ブラス
Bolívar	ボリバル
Bonifacio	ボニファシオ
Braulio	ブラウリオ
Bruno	ブルノ、ブルーノ
Buenaventura	ブエナベントゥラ
Calisto	カリスト
Camilo	カミロ
Cande	カンデ
Candelario	カンデラリオ
Carlito	カルリト
Carlitos	カルリトス
Carlos	カルロス
Carmelo	カルメロ
Casimiro	カシミロ
Cayetano	カジェタノ
Cayo	カジョ
Cebrián	セブリアン
Cecilio	セシリオ
Ceferino	セフェリノ
Celedonio	セレドニオ
Celestino	セレスティノ
Celino	セリノ
Celio	セリオ
Celso	セルソ
César	セサル
Chico	チコ
Chucho	チュチョ
Chus	チュス
Chuy	チュイ
Cipriano	シプリアノ
Ciriaco	シリアコ
Cirino	シリノ
Ciro	シーロ
Claudio	クラウディオ
Clemente	クレメンテ
Cleto	クレト
Clímaco	クリマコ
Conrado	コンラド
Cristián	クリスティアン
Cristóbal	クリストバル
Cruz	クルス
Curro	クーロ、クルロ
Custodio	クストディオ
Damián	ダミアン
Daniel	ダニエル
Darío	ダリオ
David	ダビド
Demetrio	デメトリオ
Desi	デシ
Desiderio	デシデリオ
Diego	ディエゴ
Dimas	ディマス
Dionisio	ディオニシオ
Domingo	ドミンゴ
Donato	ドナト
Doroteo	ドロテオ
Duilio	ドゥイリオ
Eberardo	エベラルド
Edgardo	エドガルド
Edmundo	エドムンド
Eduardo	エドゥアルド
Efraín	エフライン
Eladio	エラディオ
Eleuterio	エレウテリオ
Elías	エリアス
Eligio	エリヒオ
Eliseo	エリセオ
Eloy	エロイ
Elpidio	エルピディオ
Emanuel	エマヌエル
Emerico	エメリコ
Emidio	エミディオ
Emigdio	エミグディオ
Emiliano	エミリアノ
Emilio	エミリオ
Enrique	エンリケ
Epifanio	エピファニオ
Ernesto	エルネスト
Espiridión	エスピリディオン
Estavan	エスタバン
Esteban	エステバン
Eugenio	エウヘニオ
Eulalio	エウラリオ
Eurico	エウリコ
Eusebio	エウセビオ
Eustacio	エウスタシオ
Eustaquio	エウスタキオ
Eutimio	エウティミオ
Eutropio	エウトロピオ
Ezequiel	エセキエル
Fabio	ファビオ
Fabricio	ファブリシオ
Faramundo	ファラムンド
Faustino	ファウスティノ
Fausto	ファウスト
Federico	フェデリコ
Feliciano	フェリシアノ
Felipe	フェリペ
Félix	フェリクス
Fermín	フェルミン
Fernán	フェルナン
Fernando	フェルナンド
Fidel	フィデル
Fito	フィト
Flavio	フラビオ
Florencio	フロレンシオ
Fonsie	フォンシエ
Francisco	フランシスコ
Fulgencio	フルヘンシオ
Gabino	ガビノ
Gabriel	ガブリエル
Gael	ガエル
Gaspar	ガスパル
Geraldo	ヘラルド
Gerard	ヘラルド
Gerardo	ヘラルド
Germán	ヘルマン
Gervasio	ヘルバシオ
Gil	ヒル
Gilberto	ヒルベルト
Godofredo	ゴドフレド
Gonzalo	ゴンサロ
Goyo	ゴヨ
Graciano	グラシアノ
Gregorio	グレゴリオ
Guillermo	ギジェルモ
Gustavo	グスタボ
Héctor	エクトル
Heliodoro	エリオドロ
Herberto	エルベルト
Heriberto	エリベルト
Hermenegildo	エルメネヒルド
Herminio	エルミニオ
Hernán	エルナン
Hernando	エルナンド
Hilario	イラリオ
Hipolito	イポリト
Horacio	オラシオ
Hugo	ウーゴ
Humberto	ウンベルト
Ignacio	イグナシオ
Íker	イケル
Ildefonso	イルデフォンソ
Íñigo	イニゴ
Inocencio	イノセンシオ
Isaac	イサーク
Isandro	イサンドロ
Isidoro	イシドロ
Isidro	イシドロ、イシードロ
Ismael	イスマエル
Iván	イバン
Jacinto	ハシント
Jacob	ハコブ
Jacobo	ハコボ
Jaime	ハイメ
Javier	ハビエル
Jenaro	ヘナロ
Jerónimo	ヘロニモ
Jesús	ヘスス
Jimeno	ヒメノ
Joaquín	ホアキン
Joel	ホエル
Jorge	ホルヘ
José	ホセ
Josué	ホスエ
Juan	フアン
Juanito	フアニート
Julián	フリアン
Julio	フリオ
Junípero	フニペロ
Lalo	ラロ
Leandro	レアンドロ
Leo	レオ
Leocadio	レオカディオ
León	レオン
Leonardo	レオナルド
Leoncio	レオンシオ
Leopoldo	レオポルド
Lino	リノ
Lope	ロペ
Lorencio	ロレンシオ
Lorenzo	ロレンソ
Luca	ルカ
Lucas	ルカス
Luciano	ルシアノ
Lucio	ルシオ
Luís	ルイス
Macario	マカリオ
Manolito	マノリト
Manolo	マノロ
Manuel	マヌエル
Marcelino	マルセリノ
Marcelo	マルセロ
Marcial	マルシアル
Marcio	マルシオ
Marco	マルコ
Marcos	マルコス
Mariano	マリアーノ
Mario	マリオ
Martín	マルティン
Mateo	マテオ
Mauricio	マウリシオ
Maximiliano	マクシミリアノ
Melchor	メルチョル
Miguel	ミゲル
Modesto	モデスト
Moisés	モイセス
Nacho	ナチョ
Nacio	ナシオ
Narciso	ナルシソ
Natalio	ナタリオ
Natanael	ナタナエル
Nataniel	ナタニエル
Nazario	ナサリオ
Nicodemo	ニコデモ
Nicolao	ニコラオ
Nicolás	ニコラス
Noé	ノエ
Octavio	オクタビオ
Odalis	オダリス
Olegario	オレガリオ
Omar	オマール
Óscar	オスカル
Oskar	オスカル
Osvaldo	オスバルド
Oswaldo	オスワルド
Ovidio	オビディオ
Pablo	パブロ
Paco	パコ
Pancho	パンチョ
Paquito	パキト
Pascual	パスクワル、パスクアル
Pastor	パストル
Patricio	パトリシオ
Paulino	パウリノ
Pedro	ペドロ
Pepe	ペペ
Pepito	ペピト
Pío	ピオ
Plácido	プラシド
Plinio	プリニオ
Poncio	ポンシオ
Porfirio	ポルフィリオ
Primo	プリモ
Prospero	プロスペロ
Prudencio	プルデンシオ
Quique	キケ
Rafael	ラファエル
Raimundo	ライムンド
Rainerio	ライネリオ
Ramiro	ラミロ
Ramón	ラモン
Raúl	ラウル
Raymundo	ライムンド
Régulo	レグロ
Reinaldo	レイナルド
Remigio	レミヒオ
Renato	レナト
René	レネ
Reyes	レジェス
Reynaldo	レイナルド
Ricardo	リカルド
Rico	リコ
Rigoberto	リゴベルト
Roberto	ロベルト
Rodolfo	ロドルフォ
Rodrigo	ロドリゴ
Rogelio	ロヘリオ
Rolando	ロランド
Roldán	ロルダン
Roque	ロケ
Rubén	ルーベン
Rufino	ルフィノ
Ruperto	ルーペルト
Ruy	ルイ
Sabas	サバス
Sal	サル
Salomón	サロモン
Salvador	サルバドール
Samuel	サムエル
Sancho	サンチョ
Sandalio	サンダリオ
Sans	サンス
Santiago	サンティアゴ
Santos	サントス
Saturnino	サトゥルニノ
Saulo	サウロ
Sebastián	セバスティアン
Sergio	セルヒオ
Seve	セベ
Severiano	セベリアノ
Severino	セベリノ
Severo	セベロ
Silvestre	シルベストレ
Silvio	シルビオ
Simón	シモン
Sofronio	ソフロニオ
Sosimo	ソシモ
Tacito	タシト
Tadeo	タデオ
Teo	テオ
Teobaldo	テオバルド
Teodoro	テオドロ
Teodosio	テオドシオ
Teódulo	テオドゥロ
Teófilo	テオフィロ
Tercero	テルセロ
Terencio	テレンシオ
Tiburcio	ティブルシオ
Timoteo	ティモテオ
Tito	ティト
Tobías	トビアス
Tomás	トマス
Toño	トニョ
Trinidad	トリニダード
Tristán	トリスタン
Ulises	ウリセス
Umberto	ウンベルト
Urbano	ウルバノ
Valentín	バレンティン
Valeriano	バレリアノ
Valerio	バレリオ
Vasco	バスコ
Velasco	ベラスコ
Venceslás	ベンセスラス
Vicente	ビセンテ
Víctor	ビクトル
Victoriano	ビクトリアノ
Victorino	ビクトリノ
Vidal	ビダル
Vinicio	ビニシオ
Virgilio	ビルヒリオ
Vito	ビト
Wilfredo	ウィルフレド
