Abel	アベル
Achille	アシル
Adam	アダン、アドン
Adelard	アデラール
Adolphe	アドルフ
Adrien	アドリアン
Aimé	エメ
Alain	アラン
Alan	アラン
Alban	アルバン
Albéric	アルベリク
Albert	アルベール
Alexandre	アレクサンドル
Alexis	アレクシ
Alfred	アルフレッド
Aloïs	アロイス
Alphonse	アルフォンス
Ambroise	アンブロワーズ
Amédée	アメデ
Anatole	アナトル、アナトール
André	アンドレ
Anselme	アンセルム
Antoine	アントワーヌ
Antonin	アントナン
Aristide	アリスティド、アリスチド
Armand	アルマン
Arnaud	アルノー
Arsène	アルセーヌ
Arthur	アルチュール、アルテュール
Aubin	オーバン
Aubry	オーブリー
Auguste	オーギュスト
Augustin	オーギュスタン
Aurèle	オレール
Aurélien	オーレリアン
Baptiste	バティスト
Barnabé	バルナベ
Barthélémy	バルテレミー
Basile	バジル
Bastien	バスチアン
Baudouin	ボドワン
Benjamin	バンジャマン
Benoît	ブノワ
Bérenger	ベランジェ
Bernard	ベルナール
Bertrand	ベルトラン
Blaise	ブレーズ
Bressole	ブレソール
Briac	ブリアック
Brice	ブリス
Bruno	ブリュノ
Camille	カミーユ
Casimir	カジミール
Cédric	セドリック
Célestin	セレスタン
Césaire	セザール
César	セザール
Charles	シャルル
Christian	クリスチャン、クリスチアン
Christophe	クリストフ
Clair	クレール
Claude	クロード
Clément	クレマン
Clovis	クロヴィス
Côme	コーム
Constant	コンスタン
Constantin	コンスタンタン
Corentin	コランタン
Cyprien	シプリアン
Cyril	シリル
Cyrille	シリル
Damien	ダミアン
Daniel	ダニエル
David	ダヴィド
Denis	ドニ
Désiré	デジレ
Didier	ディディエ
Dieudonné	デュドネ
Dion	ディオン
Dominique	ドミニク
Donald	ドナルド
Donat	ドナ
Donatien	ドナシアン
Edgar	エドガール
Edgard	エドガール
Edmé	エドメ
Edmond	エドモン
Édouard	エドゥアール、エドワール
Élisée	エリゼ
Éloi	エロワ
Émile	エミール
Émilien	エミリアン
Emmanuel	エマニュエル
Enzo	エンゾ
Éric	エリク
Ernest	エルネスト
Estienne	エティエンヌ
Ethan	エタン
Étienne	エティエンヌ
Eugène	ウジェーヌ
Eustache	ウスターシュ
Évariste	エヴァリスト
Évrard	エヴラール
Fabien	ファビアン
Fabrice	ファブリス
Félicien	フェリシアン
Félix	フェリクス
Ferdinand	フェルディナン
Fernand	フェルナン
Firmin	フィルマン
Florent	フロラン
Florentin	フロランタン
Francis	フランシス
François	フランソワ
Frédéric	フレデリク
Gabriel	ギャブリエル、ガブリエル
Gaël	ガエル、ギャエル
Gaëtan	ガエタン、ギャエタン
Gaspard	ギャスパル、ガスパル
Gaston	ガストン、ギャストン
Gautier	ゴーチエ
Geoffroi	ジョフロワ
Geoffroy	ジョフロワ
Georges	ジョルジュ
Gérald	ジェラルド
Gérard	ジェラール
Germain	ジェルマン
Gervais	ジェルヴェ
Ghislain	ジスラン
Gilbert	ジルベール
Gilles	ジル
Giraud	ジロー
Gratien	グラシアン
Grégoire	グレゴワール
Guillaume	ギヨーム
Gustave	ギュスターヴ
Guy	ギー
Gwenaël	グウェナエル
Hector	エクトル
Henri	アンリ
Hercule	エルキュール
Hervé	エルヴェ
Hilaire	イレール
Hippolyte	イポリート
Honoré	オノレ
Horace	オラース
Hubert	ユベール
Hugues	ユーグ
Humbert	アンベール
Hyacinthe	イアサント
Ignace	イニャス
Irénée	イレネー
Isidore	イジドール
Jacob	ジャコブ
Jacques	ジャック
Jason	ジャゾン
Jean	ジャン
Jean-Baptiste	ジャン＝バティスト
Jean-Christophe	ジャン＝クリストフ
Jean-François	ジャン＝フランソワ
Jean-Jacques	ジャン＝ジャック
Jean-Marie	ジャン＝マリー
Jean-Paul	ジャン＝ポール
Jérémie	ジェレミー
Jérôme	ジェローム
Joachim	ジョアキム
Jocelyn	ジョスラン
Joël	ジョエル
Jonathan	ジョナタン
Joseph	ジョゼフ
Josse	ジョス
Josselin	ジョスラン
Josué	ジョズエ
Jules	ジュール
Julien	ジュリアン
Juste	ジュスト
Justin	ジュスタン
Kévin	ケヴィン
Lambert	ランベール
Laurent	ローラン
Lazare	ラザール
Léandre	レアンドル
Léo	レオ
Léon	レオン
Léonard	レオナール
Léonce	レオンス
Léopold	レオポルド
Lionel	リオネル
Loïc	ロイク
Louis	ルイ
Louison	ルイゾン
Luc	リュック
Lucas	リュカ
Lucien	リュシアン、ルシアン
Macaire	マケール
Marc	マルク
Marcel	マルセル
Marcellin	マルスラン
Marius	マリユス
Martin	マルタン
Mathias	マティアス、マチアス
Mathieu	マチュー
Matthias	マチアス
Matthieu	マチュー
Maurice	モーリス
Maxime	マクシム
Maximilien	マクシミリアン
Michel	ミシェル
Mickaël	ミキャエル、ミカエル
Moïse	モイーズ
Morgan	モルガン
Narcisse	ナルシス
Nathan	ナタン
Nathanaël	ナタナエル
Nazaire	ナゼール
Nicholas	ニコラ
Nicolas	ニコラ
Noë	ノエ
Noël	ノエル
Octavien	オクタヴィアン
Odilon	オディロン
Olivier	オリヴィエ
Pascal	パスカル
Patrice	パトリス
Patrick	パトリック
Paul	ポール
Philibert	フィリベール
Philippe	フィリップ
Pierre	ピエール
Pierrick	ピエリック
Pierrot	ピエロ
Prosper	プロスペール
Quentin	カンタン
Raoul	ラウル
Raphaël	ラファエル
Raymond	レイモン
Régis	レジス
Rémi	レミ
Rémy	レミ
Rénald	レナルド
Renaud	ルノー
René	ルネ
Reynaud	レノー
Richard	リシャール
Robert	ロベール
Roch	ロック
Rodolphe	ロドルフ
Rodrigue	ロドリグ
Roger	ロジェ
Roland	ロラン
Romain	ロマン
Sacha	サシャ
Salomon	サロモン
Samuel	サミュエル
Sébastien	セバスチャン
Serge	セルジュ
Séverin	セヴラン
Siméon	シメオン
Simon	シモン
Stéphane	ステファーヌ、ステファヌ
Sylvain	シルヴァン
Sylvestre	シルヴェストル
Térence	テランス
Théodore	テオドール
Théophane	テオファーヌ、テオファヌ
Théophile	テオフィル
Thibaud	ティボー、チボー
Thibault	ティボー、チボー
Thierry	ティエリー、チエリー
Thomas	トマ
Timothée	ティモテ
Tobie	トビ
Toussaint	トゥーサン
Tristan	トリスタン
Ulrich	ユルリッシュ
Valentin	ヴァランタン
Valère	ヴァレール
Valérian	ヴァレリアン
Valéry	ヴァレリー
Victor	ヴィクトル
Vincent	ヴァンサン
Virgile	ヴィルジール
Vivien	ヴィヴィアン
Xavier	グザヴィエ
Yann	ヤン
Yannick	ヤニク、ヤニック
Yves	イーヴ、イヴ
Yvon	イヴォン
