Abbondio	アッボンディオ
Abelardo	アベラルド
Abele	アベーレ
Abramo	アブラーモ
Achille	アキッレ
Achilleo	アキッレーオ
Adalberto	アダルベルト
Adamo	アダーモ
Adelmo	アデルモ
Adolfo	アドルフォ
Adriano	アドリアーノ
Agnello	アニェッロ
Agnolo	アニョロ、アンニョロ
Agostino	アゴスティーノ
Albano	アルバーノ
Alberto	アルベールト
Alcide	アルチーデ、アルチデ
Aldo	アルド、アールド
Alessandro	アレッサンドロ
Alessio	アレッシオ
Alfio	アルフィオ
Alfonso	アルフォンソ
Alfredo	アルフレード
Alicio	アリーチョ
Almiro	アルミロ
Aloisio	アロイージオ
Alonzo	アロンツォ
Alvaro	アルヴァロ、アルヴァーロ
Amadeo	アマデオ
Amato	アマート
Ambrogio	アンブロージョ
Amedeo	アメデオ
Amerigo	アメリーゴ
Amilcare	アミールカレ
Amintore	アミントレ
Anacleto	アナクレート
Anastasio	アナスタージオ、アナスターシオ
Andrea	アンドレーア
Angelo	アンジェロ
Angiolino	アンジョリーノ
Aniceto	アニチェート
Aniello	アニエッロ
Annibale	アンニーバレ
Anselmo	アンセルモ、アンセールモ
Antioco	アンティオコ
Antonello	アントネッロ
Antonino	アントニーノ
Antonio	アントーニオ
Apollinare	アポリナーレ
Arcangelo	アルカンジェロ
Arcibaldo	アルチバルド
Arduino	アルドゥイノ
Armando	アルマンド
Arnaldo	アルナルド
Arnoldo	アルノルド
Aroldo	アロルド
Arrigo	アルリーゴ
Arturo	アルトゥーロ
Assunto	アッスント
Attilio	アッティーリオ
Augustino	アウグスティーノ
Augusto	アウグスト
Aureliano	アウレリアーノ
Aurelio	アウレーリオ
Ausilio	アウジリオ
Baldassare	バルダッサーレ
Baldassarre	バルダッサーレ
Baldo	バルド
Baldovino	バルドヴィーノ
Barnaba	バルナバ
Bartolo	バルトロ
Bartolomeo	バルトロメーオ
Bartolommeo	バルトロメーオ
Basilio	バジーリオ
Battista	バッティスタ
Belisario	ベリザリオ、ベリザーリオ
Benedetto	ベネデット
Beniamino	ベニャミーノ、ベニアミーノ
Benigno	ベニーニョ
Benito	ベニート
Benvenuto	ベンヴェヌート
Bernardino	ベルナルディーノ
Bernardo	ベルナルド、ベルナールド
Bertoldo	ベルトルド
Bertrando	ベルトランド
Biaggio	ビアッジョ
Biagio	ビアージョ
Bonaventura	ボナヴェントゥーラ
Bonifacio	ボニファーチョ
Bonifazio	ボニファーツィオ
Bonito	ボニート
Brizio	ブリツィオ、ブリーツィオ
Bruno	ブルーノ
Callisto	カッリスト
Calogero	カロージェロ
Camillo	カミッロ
Carlo	カルロ
Carmelo	カルメーロ
Carmine	カルミネ、カールミネ
Casto	カスト
Catullo	カトゥッロ
Cecilio	チェチーリオ
Celestino	チェレスティーノ
Celio	チェーリオ
Celso	チェルソ
Cesare	チェーザレ
Cesarino	チェザリーノ
Chiaffredo	キアッフレード
Cipriano	チプリアーノ
