Aart	アールト
Abe	アーベ
Abraham	アーブラハム
Adam	アダム、アーダム
Adelbert	アデルベルト
Adolf	アードルフ
Adriaan	アードリアン、アードリアーン
Adriaen	アドリアーン
Adrianus	アドリアヌス
Aernout	アルナウト
Albert	アルベルト
Albertus	アルベルテュス
Aldert	アルデルト
Alex	アレックス
Alexander	アレクサンデル
Alfons	アルフォンス
Alfred	アルフレット
Aloysius	アロイシウス
Alwin	アルヴィン
Ambroos	アンブロース
André	アンドレ
Andreas	アンドレアス
Andries	アンドリース
Anton	アントン
Antonie	アントニー
Antonius	アントーニウス
Antoon	アントーン、アントウン
Arend	アーレント
Arie	アリー
Arjan	アルヤン
Arjen	アリエン
Arnoud	アルナウト
Arthur	アルテュール
Augustijn	アウフスタイン
Augustus	アウフステュス
Barend	バーレント
Bart	バルト
Bartel	バルテル
Barthold	バルトルト
Bartholomeus	バルトロメーウス、バルトロメーユス
Bastiaan	バスティアーン
Ben	ベン
Benedictus	ベネディクテュス
Benjamin	ベンヤミン
Bernhard	ベルンハルト
Bert	ベルト
Bo	ボー
Bob	ボプ
Bonifaas	ボニファース
Boudewijn	バウデヴェイン
Braam	ブラーム
Bram	ブラム
Brecht	ブレフト
Broos	ブロース、ブロウス
Cas	カス
Casper	カスペル
Cees	セース、ケース
Chris	クリス
Christiaan	クリスティアーン
Christoffel	クリストッフェル
Cobus	コーバス
Constantijn	コンスタンテイン
Coos	コース、コウス
Cornelis	コルネリス
Cornelius	コルネリウス
Daan	ダーン
Damiaan	ダミアーン
Damian	ダミアン
Daniël	ダニエル
David	ダーフィット
Dennis	デニス
Derk	デルク
Dick	ディック
Diede	ディーデ
Diederick	ディーデリック
Diederik	ディーデリック
Dirck	ディルク
Dirk	ディルク
Dominicus	ドミニクス
Dries	ドリース
Ed	エト
Eduard	エデュアルト、エドゥアルト
Edwin	エトヴィン
Eeltsje	エルチェ
Egbert	エフベルト
Egmond	エフモント
Elbert	エルベルト
Elia	エリア
Elian	エリアン
Emerens	エメレンス
Erik	エーリク
Ernst	エルンスト
Erwin	エルヴィン
Ewoud	エーヴァウト
Ewout	エーヴァウト
Faas	ファース
Fabian	ファビアン
Felix	フェリクス
Ferdinand	フェルディナント
Filibert	フィリベルト
Filip	フィリップ
Filippus	フィリッピュス
Floor	フロール、フロウル
Floris	フローリス
Fons	フォンス
Franciscus	フランシスクス
Frank	フランク
Frans	フランス
Fred	フレット
Frederik	フレーデリック
Freek	フレーク、フレイク
Frits	フリッツ
Gabriël	ハブリエル
Geert	ヘールト、ヘイルト
Gerard	ヘーラルト
Gerben	ヘルベン
Gerbrand	ヘルブラント
Gerd	ヘルト
Gerhard	ヘルハルト
Gerlach	ヘルラフ
Gerlof	ヘルロフ
Gerolf	ヘロルフ
Gerolt	ヘロルト
Gerrit	ヘリット
Gerry	ヘリー
Gert	ヘルト
Gideon	ヒデオン
Gijs	ヘイス
Gijsbert	ヘイスベルト
Gilbert	ヒルベルト
Gillis	ヒリス
Godfried	ホドフリート
Gustaaf	フスターフ
Guus	フース
Hannes	ハンネス
Hans	ハンス
Harm	ハルム
Heike	ヘイケ
Hein	ヘイン
Heino	ヘイノ
Hendrik	ヘンドリック
Henk	ヘンク
Hennie	ヘニー
Henny	ヘニー
Henricus	ヘンリキュス
Herman	ヘルマン
Hermanus	ヘルマニュス
Hieronymus	ヒエロニムス
Hubert	ヒューベルト
Hubertus	ヒューベルテュス
Hubrecht	ヒューブレヒト
Hugo	ヒューホ
Huub	ヒュープ
Ignaas	イフナース
Ivo	イーフォ
Izaäk	イザーク
Jaap	ヤープ
Jacob	ヤーコプ
Jacobus	ヤコーブス
Jakob	ヤーコプ
Jan	ヤン
Jasper	ヤスペル
Jef	イェフ
Jelle	イェレ
Jeroen	イェルン
Jesse	イェッセ
Jo	ヨー
Job	ヨプ
Jochem	ヨヘム
Jodocus	ヨドークス
Joël	ヨエル
Joep	ユープ
Joeri	ユーリ
Johan	ヨハン
Johannes	ヨハンネス
Jonas	ヨナス
Jonathan	ヨナタン
Joop	ヨープ、ヨウプ
Joord	ヨールト、ヨウルト
Joos	ヨース、ヨウス
Joost	ヨースト、ヨウスト
Jordaan	ヨルダーン
Joris	ヨーリス
Jos	ヨス
Josephus	ヨゼーヒュス
Jozef	ヨーゼフ
Jozua	ヨーズア
Judocus	ユドークス
Julius	ユリウス
Jurgen	ユルヘン
Jurriaan	ユリアーン
Justus	ユストゥス、ユステュス
Kai	カイ
Karel	カレル
Kasper	カスペル
Kees	ケース、ケイス
Kerneels	ケルネールス
Kevin	ケフィン
Klaas	クラース
Koen	クーン
Koenraad	クンラート
Koert	クルト
Koos	コース、コウス
Lambert	ランベルト
Lammert	ランメルト
Lars	ラルス
Lau	ラウ
Laurens	ラウレンス
Leo	レオ
Leon	レオン
Leonard	レオナルト
Leopold	レオポルト
