Avksenty	アフクセンチー
Agafon	アガフォン
Adam	アダム
Adrian	アドリアン
Azret	アズレト、アズレート
Akim	アキム
Aleksandr	アレクサンドル
Aleksey	アレクセイ
Alvian	アリヴィアン
Anatoly	アナトリー
Andrey	アンドレイ
Anton	アントン、アントーン
Antony	アントニー、アントーニー
Antonin	アントニン、アントニーン
Aram	アラム
Aristarkh	アリスタルフ
Arkady	アルカジー、アルカージー
Arnold	アルノリト
Arseny	アルセニー、アルセーニー
Artyom	アルチョム、アルチョーム
Artemy	アルチェミー
Artur	アルトゥル、アルトゥール
Afanasy	アファナシー、アファナーシー
Bogdan	ボグダン
Boris	ボリス、ボリース
Vadim	ヴァジム、ヴァジーム
Valentin	ヴァレンチン（ワレンチン）
Valery	ヴァレリー
Valeryan	ヴァレリヤン
Varlam	ヴァルラム
Vasily	ヴァシリー
Venedikt	ヴェネジクト
Veniamin	ヴェニアミン
Viktor	ヴィクトル
Vitaly	ヴィタリー
Vladimir	ヴラジーミル
Vladislav	ヴラジスラフ、ヴラジスラーフ
Vladlen	ヴラドレン
Vsevolod	フセーヴォロト、フセヴォロト
Vukol	ヴコール
Vyacheslav	ヴィチェスラフ、ヴィチェスラーフ
Gavriil	ガヴリイル
Gelasy	ゲラーシー
Gennady	ゲンナジー、ゲンナージー
Georgy	ゲオルギー、ゲオールギー
Gerasim	ゲラシム、ゲラーシム
German	ゲルマン
Gleb	グレープ
Gordey	ゴルジェイ
Grigory	グリゴリー
David	ダヴィート、ダヴィット
Daniil	ダニイル、ダニール
Demyan	ジェミヤン
Denis	ジェニース
Dmitry	ドミトリー、ドミートリー
Donat	ドナート
Dorofey	ドロフェイ
Yevgeny	エヴゲニー
Yevgraf	エヴグラーフ
Yevsey	エフセイ
Yegor	エゴール
Yemelyan	エメリヤン
Yeremey	エレメイ、イェレメイ
Yermolay	エルモライ
Yefim	エフィム
Zakhar	ザハール
Ivan	イヴァン（イワン）
Ignat	イグナート
Igor	イーゴリ
Illarion	イラリオン、イラリオーン
Ildar	イリダル、イリダール
Ilya	イリヤ
Innokenty	インノケンチー
Iosif	ヨーシフ、ヨシフ
Iriney	イリネイ
Isaak	イサーク
Isay	イサイ
Isidor	イシドル、イシードル
Kir	キール
Kirill	キリル、キリール
Klavdy	クラヴジー、クラーヴジー
Kliment	クリメント
Kondrat	コンドラート
Konstantin	コンスタンチン
Ksavery	クサヴェリー
Kuzma	クジマ
Kupriyan	クプリヤン
Lavrenty	ラヴレンチー
Lev	レフ
Leonid	レオニート
Leonty	レオンチー
Luka	ルカ
Lukyan	ルキヤン
Makar	マカール
Maksim	マクシム、マクシーム
Maksimilian	マクシミリアン、マクシミリアーン
Marat	マラート
Mark	マルク
Martyn	マルティン
Matvey	マトヴェイ
Melenty	メレンチー
Miron	ミロン
Miroslav	ミロスラーフ
Mitrofan	ミトロファン
Mikhail	ミハイル
Mstislav	ムスチスラフ
Nestor	ネストル、ニエストル
Nikita	ニキータ
Nikolay	ニコライ、ニカライ
Oleg	オレーク、アレーク
Onisim	オニーシム
Osip	オーシプ
Pavel	パーヴェル
Panteleymon	パンチェレイモン
Pyotr	ピョートル
Platon	プラトン、プラトーン
Porfiry	ポルフィリー、ポルフィーリー
Prokopy	プロコーピー、プラコーピー
Prokhor	プローホル
Renat	レナート
Robert	ローベルト
Rodion	ロジオン、ロジオーン
Roman	ロマン、ラマン
Rostislav	ロスチスラフ
Rudolf	ルドルフ
Ruslan	ルスラン、ルスラーン
Savva	サッヴァ、サーヴァ
Svyatoslav	スヴャトスラフ、スヴャトスラーフ
Semyon	セミョーン
Sergey	セルゲイ、セルゲーイ
Sidor	シードル
Sozon	ソゾン
Spiridon	スピリドン
Stanislav	スタニスラフ、スタニスラーフ
Stepan	スチェパン
Terenty	チェレンチー
Timofey	チモフェイ、チマフェーイ
Timur	チムール
Trifon	トリーフォン
Trofim	トロフィム、トロフィーム
Faddey	ファッジェイ
Fyodor	フョードル
Fedosey	フェドセイ
Fedot	フェドート
Frol	フロル
Khristofor	フリストフォル
Eduard	エドアルト
Erast	エラスト、エラースト
Yulian	ユリアン、ユリアーン
Yury	ユーリー、ユーリイ
Yustin	ユスチン
Yakov	ヤーコフ、ヤコフ
Yaroslav	ヤロスラフ、ヤロスラーフ
