Abel	アーベル
Abraham	アブラハム
Adam	アーダム、アダム
Adolf	アードルフ
Adrian	アードリアン
Åke	オーケ
Albert	アルベルト
Albin	アルビン
Alexander	アレクサンデル
Alexis	アレクシス
Alf	アルフ
Alfons	アルフォンス
Alfred	アルフレド、アルフレッド
Allan	アラン
Alvar	アルヴァー
Alvin	アルヴィン
Amadeus	アマデウス
Ambrosius	アンブロシウス
Anders	アンデシュ
André	アンドレ
Andreas	アンドレアス
Anselm	アンセルム
Ansgar	アンスガル
Anton	アントン
Arne	アーネ
Arnold	アルノルド
Aroldo	アロルド
Aron	アーロン
Artur	アルトゥル
Arvid	アルヴィド
Asbjörn	アスビョルン
Assar	アッサール
August	アウグスト
Augustin	アウグスティン
Axel	アクセル
Baltasar	バルタサール
Baltsar	バルトサール
Barbro	バルブロ
Benedikt	ベネディクト
Bengt	ベングト
Benjamin	ベンヤミン
Benno	ベンノ
Bernhard	ベルンハルド、バーンハルド
Bernt	ベルント、バルント
Bert	バート
Berthold	ベルトルド
Bertil	ベッティル、バッティル
Birger	ビリエル
Bjarne	ビャルネ
Björn	ビョルン
Bo	ボー
Boris	ボリス
Börje	ボルイェ
Botvid	ボトヴィッド
Bror	ブロル
Bruno	ブルーノ
Carl	カール
Carl-Johan	カール＝ヨーアン
Casper	カスペル、カスパル
Christer	クリステル
Christian	クリスティアン
Christof	クリストフ
Christofer	クリストフェル
Christoffer	クリストフェル
Claes	クラース
Conny	コニー
Dag	ダーグ、ドーグ
Dan	ドン、ダン
Daniel	ダニエル
David	ダーヴィド
Dennis	デニス
Dick	ディック
Douglas	ドグラス、ドーグラス
Ebbe	エッベ
Eddy	エディ
Edgar	エドガー
Edvard	エドヴァルド
Edvin	エドヴィン
Egil	エーギル
Ejnar	エイナル
Elias	エリアス
Elliot	エリオット
Emanuel	エマーヌエル、エマヌエル
Emil	エーミル
Engelbrekt	エンゲルブレクト
Eric	エーリク
Erik	エーリク、イェリク
Erland	エルランド
Esbjörn	エスビョルン
Evert	エーヴェルト
Felix	フェリクス
Filip	フィリップ
Francis	フランシス
Frans	フラン
Frederik	フレデリク
Fredrik	フレードリク
Gabriel	ガーブリエル
Georg	イェオリ
Gerd	イェルド
Gerhard	イェルハルド
Gideon	イデオン
Gillis	イリス
Göran	ヨーラン
Gösta	イェスタ
Göstav	イェスタフ
Gottfrid	ゴットフリッド
Greger	グレーゲル
Gunnar	グンナル
Gustaf	グスタフ
Gustav	グスタフ
Håkan	ホーカン
Hampus	ハンプス
Hannes	ハンネス
Hans	ハンス
Hans-Åke	ハンス＝オーケ
Hasse	ハッセ
Helge	ヘルゲ
Henrik	ヘンリク
Henry	ヘヌリ
Herman	ヘルマン
Hjalmar	ヤルマル
Hugo	フーゴ
Inge	インニェ
Ingemar	インゲマル
Ingmar	インマル
Ingvar	イングヴァル
Isak	イーサク
Ivar	イーヴァル
Jacob	ヤーコプ
Jakob	ヤーコプ
Jan	ヨーン、ヤーン
Jan-Erik	ヨーン＝エーリク
Jan-Olof	ヨーン＝オロフ
Janne	ヤンネ
Jens	イェンス
Jerker	イェルケル
Jesper	イェスペル
Joachim	ヨアキム
Joakim	ヨアキム
Joel	ヨエル
Johan	ヨーアン、ユーアン
Johannes	ヨハンネス
John	ヨン
Jon	ヨーン、ヨン
Jonas	ヨーナス
Jonatan	ヨナタン
Jonathan	ヨナタン
Jonny	ヨニー
Jöns	イェンス
Jöran	ヨーラン
Jörgen	ヨルゲン
Josef	ヨーセフ
Julius	ユーリウス、ユリウス
Käbi	ケビ
Kai	カイ
Kalle	カッレ、キャレ
Kåre	コーレ
Karl	カール
Karl-Erik	カール＝エーリク
Kasper	カスペル、カスパル
Kenneth	ケネト
Kent	ケント
Kevin	ケヴィン
Kim	キム
Kjell	シェル
Klemens	クレーメンス
Knut	クヌート
Konrad	コンラード
Krister	クリステル
Kristian	クリスティアン
Kristoffer	クリストファー
Kurt	クート、クルト
Lars	ラーシュ
Lars-Erik	ラーシュ＝エーリク
Lars-Göran	ラーシュ＝ヨーラン
Lars-Olof	ラーシュ＝オロフ
Leif	レイフ
Lennart	レンナルト
Leo	レオ、リオ
Leon	レオン
Leonhard	レオナルド
Linné	リネー
Linus	リーヌス
Lucas	ルーカス
Ludvig	ルードヴィグ
Lukas	ルーカス
Magnus	マグヌス
Måns	モンス
Marc	マルク
Marcus	マルクス
Mark	マルク
Markus	マルクス
Mårten	モルテン
Martin	マルティン
Mathias	マティアス
Mats	マッツ
Matteus	マテウス
Matthias	マティアス
Mattias	マティアス
Mauritz	マウリッツ
Max	マックス
Maximilian	マクシミリアン
Melker	メルケル
Michael	ミーケル
Mikael	ミーケル
Mikal	ミカル
Nathan	ナータン
Niclas	ニクラス
Nicolai	ニコライ
Niklas	ニクラス
Nikolaus	ニコラウス
Nils	ニルス
Noah	ノア
Ola	オーラ
Oliver	オリヴェル
Olle	オッレ
Olof	オロフ
Olov	オロフ
Örjan	オリヤン
Orver	オルヴァー
Oscar	オスキャル
Oskar	オスキャル
Osvald	オスヴァルド
Otto	オットー
Ove	オーヴェ
Pål	ポール
Pär	パール
Patrik	パートリック、パトリック
Paul	パウル、ポール
Peer	ペール
Pehr	ペール
Pelle	ペッレ
Per	ペール、パール
Per-Åke	ペール＝オーケ、パール＝オーケ
Per-Erik	ペール＝エーリク、パール＝エーリク
Per-Ola	ペール＝オーラ、パール＝オーラ
Per-Olof	ペール＝オロフ、パール＝オロフ
Peter	ペータル
Petter	ペッテル
Philip	フィリップ
Philipp	フィリップ
Pontus	ポントゥス
Ragnar	ランナル
Ragnvald	ランヴァルド
Ralf	ラルフ
Ralph	ラルフ
Rasmus	ラスムス
Rickard	リキャルド
Robert	ロベルト、ローベルト
Robin	ロビン
Roland	ローランド
Rolf	ロルフ
Ronnie	ロニー
Rudolf	ルードルフ
Rune	ルーヌ
Rupert	ルーペルト
Samuel	サムエル
Sebastian	セバスティアン
Siegfried	シーグフリード
Sigfrid	シーグフリッド
Sigismund	シーギスムンド
Sigmund	シーグムンド
Sigurd	シーグルド
Sigvard	シーグヴァルド
Simon	シモン
Sixten	シクステン
Staffan	スタッファン
Stefan	ステファン
Stellan	ステッラン
Sten	ステーン、ステン
Stig	スティーグ
Svante	スヴァンテ
Sven	スヴェン
Sven-Erik	スヴェン＝エーリク
Teddy	テディ
Teodor	テオドル
Theodor	テオドル
Thomas	トーマス
Thor	トール
Thorbjörn	トールビョルン
Thorsten	トシュテン
Thorvald	トールヴァルド
Tobias	トビアス
Tom	トム
Tomas	トマス
Tommy	トミ
Torbjörn	トールビョルン
Tore	トーレ
Torkel	トーケル
Torsten	トシュテン
Torvald	トールヴァルド
Tyko	テュコ
Ulf	ウルフ
Ulrik	ウルリク
Valdemar	ヴァルデマル
Valentin	ヴァレンティン
Valter	ヴァルタル
Verner	ヴァルナル
Vidar	ヴィダル
Viggo	ヴィゴ
Viktor	ヴィクトル
Vilhelm	ヴィルヘルム
Ville	ヴィッレ
Vincent	ヴィンセント
Waldemar	ヴァルデマル
Walter	ヴァルテル
Weisell	ヴェイセル
Werner	ヴァルナル
Wilhelm	ヴィルヘルム
William	ヴィリアム
Wilmer	ヴィルマル
Yksel	イクセル
Yngve	イングヴェ
